"club","season","league","league","league","fa cup","fa cup","league cup","league cup","continental","continental","total","total"
"club","season","division","apps","cs","apps","cs","apps","cs","apps","cs","apps","cs"
"reading","2003-04","first division","1","0","0","0","0","0","-","-","1","0"
"reading","2004-05","championship","0","0","0","0","0","0","-","-","0","0"
"reading","2005-06","championship","0","0","0","0","0","0","-","-","0","0"
"reading","total","total","1","0","0","0","0","0","-","-","1","0"
"rushden & diamonds","2005-06","league two","20","0","3","0","1","0","0","0","24","0"
"wycombe wanderers","2006-07","league two","19","0","2","0","3","0","0","0","24","0"
"wycombe wanderers","2007-08","league two","4","0","0","0","0","0","0","0","4","0"
"wycombe wanderers","2008-09","league two","15","0","0","0","1","0","1","0","17","0"
"wycombe wanderers","2009-10","league one","1","0","0","0","1","0","1","0","3","0"
"wycombe wanderers","total","total","59","0","5","0","6","0","2","0","72","0"
"aldershot town","2009-10","league two","9","0","0","0","0","0","1","0","10","0"
"aldershot town","2010-11","league two","46","0","3","0","1","0","2","0","52","0"
"aldershot town","2011-12","league two","25","0","3","0","1","0","1","0","30","0"
"aldershot town","2012-13","league two","44","0","3","0","1","0","0","0","48","0"
"aldershot town","total","total","124","0","9","0","3","0","4","0","140","0"
"basingstoke town","2013-14","conference south","1","0","0","0","-","-","0","0","1","0"
"whitehawk","2013-14","conference south","1","0","0","0","-","-","0","0","1","0"
"hayes & yeading united","2013-14","conference south","10","0","0","0","-","-","0","0","10","0"
"brisbane roar","2014-15","a-league","24","5","-","-","4","1","28","6","none","none"
"career total","career total","career total","206","0","14","0","9","0","6","0","235","0"
