"team","year","national league","national league","national league","mcdonagh cup","mcdonagh cup","leinster","leinster","all-ireland","all-ireland","total","total"
"team","year","division","apps","score","apps","score","apps","score","apps","score","apps","score"
"offaly","2006","division 1a","6","4-11","-","-","2","1-02","3","3-04","11","8-17"
"offaly","2007","division 1a","6","6-31","-","-","2","0-02","3","0-01","11","6-34"
"offaly","2008","division 1b","5","0-07","-","-","2","0-02","2","3-03","9","3-12"
"offaly","2009","division 2","8","0-15","-","-","1","0-02","2","0-04","11","0-21"
"offaly","2010","division 1","7","1-11","-","-","3","2-06","2","0-04","12","3-21"
"offaly","2011","division 1","7","2-14","-","-","1","0-03","1","0-01","9","2-18"
"offaly","2012","division 1b","5","0-13","-","-","2","1-03","1","0-03","8","1-19"
"offaly","2013","division 1b","3","1-06","-","-","1","2-00","1","0-02","5","3-08"
"offaly","2014","division 1b","6","1-29","-","-","1","0-01","2","0-08","9","1-38"
"offaly","2015","division 1b","6","0-14","-","-","1","0-01","1","0-01","8","0-16"
"offaly","2016","division 1b","6","2-06","-","-","5","4-07","1","0-01","12","6-14"
"offaly","2017","division 1b","-","-","2","0-01","1","0-03","3","0-04","none","none"
"offaly","2018","division 1b","5","1-17","-","-","4","2-09","-","-","9","3-26"
"offaly","2019","division 1b","4","4-25","0","0-00","-","-","4","4-25","none","none"
"career total","career total","career total","74","22-199","0","0-00","27","12-39","20","6-35","121","40-273"
