"province/territory","2013/2014","2013/2014","2014/2015","2014/2015","percent change in number of cases 2013/2014 to 2014/2015","difference in median length of cases 2013/2014 to 2014/2015"
"province/territory","number","median length of case","number","median length of case","percent","days"
"canada","379,057","127","328,028","121","-13","-6"
"newfoundland and labrador","5,183","148","4,839","143","-7","-5"
"prince edward island","1,379","40","1,259","47","-9","7"
"nova scotia","11,550","155","10,899","163","-6","8"
"new brunswick","7,404","105","6,657","106","-10","1"
"quebec","77,294","237","57,941","239","-25","2"
"ontario","135,324","99","123,072","104","-9","5"
"manitoba","19,494","162","18,095","151","-7","-11"
"saskatchewan","23,337","73","22,767","77","-2","4"
"alberta","56,831","127","44,829","107","-21","-20"
"british columbia","36,763","113","33,930","105","-8","-8"
"yukon","991","92","910","103","-8","11"
"northwest territories","1,627","68","1,317","61","-19","-7"
"nunavut","1,880","66","1,513","71","-20","5"
