"year","team","gp","gs","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving"
"year","team","gp","gs","cmp","att","pct","yds","y/a","td","int","rtg","att","yds","avg","td","rec","yds","avg","td"
"2002","ari","2","0","7","18","38.9","66","3.7","0","2","10.2","1","20","20.0","0","0","0","0.0","0"
"2003","ari","8","3","95","166","57.2","1,018","6.1","5","6","70.3","28","158","5.6","1","0","0","0.0","0"
"2004","ari","14","13","233","408","57.1","2,511","6.2","11","10","74.1","36","112","3.1","2","1","-5","-5.0","0"
"2005","ari","9","6","163","270","60.4","1,836","6.8","9","11","74.9","29","139","4.8","0","0","0","0.0","0"
"2006","det","2","0","0","0","0.0","0","0.0","0","0","0.0","0","0","0.0","0","2","15","7.5","0"
"2007","oak","9","9","111","190","58.4","1,151","6.1","10","11","69.4","29","143","4.9","0","0","0","0.0","0"
"2008","car","2","0","0","0","0.0","0","0.0","0","0","0.0","4","-3","-0.8","0","0","0","0.0","0"
"2009","car","1","0","1","6","16.7","2","0.3","0","0","39.6","0","0","0.0","0","0","0","0.0","0"
"2011","chi","3","2","35","55","63.6","414","7.5","2","4","68.3","12","68","5.7","0","0","0","0.0","0"
"2013","chi","8","5","149","224","66.5","1,829","8.2","13","1","109.0","13","69","5.3","1","0","0","0.0","0"
"2014","tb","11","11","184","327","56.3","2,206","6.7","11","14","70.5","25","127","5.1","3","0","0","0.0","0"
"2015","cle","8","8","186","292","63.7","2,109","7.2","12","4","93.3","20","98","4.9","1","0","0","0.0","0"
"2016","cle","5","3","90","165","54.5","1,100","6.7","6","6","72.3","7","21","3.0","0","0","0","0.0","0"
"2017","nyj","13","13","267","397","67.3","2,926","7.4","18","9","94.5","37","124","3.4","5","0","0","0.0","0"
"2018","nyj","4","3","60","110","54.5","539","4.9","1","4","55.8","5","32","6.4","0","0","0","0.0","0"
"career","career","99","76","1,581","2,628","60.2","17,707","6.7","98","82","79.7","246","1,108","4.5","13","3","10","3.3","0"
