"","female","female","male","male"
"","with transfers","without transfers","with transfers","without transfers"
"","percent","percent","percent","percent"
"0 to 4 years","18.9","35.2","16.6","32.8"
"5 to 9 years","13.2","31.0","12.8","27.8"
"10 to 14 years","12.9","27.0","11.9","26.5"
"15 to 19 years","13.9","25.7","14.3","25.6"
"20 to 24 years","15.9","24.0","11.5","18.0"
"25 to 29 years","13.0","20.9","9.8","17.5"
"30 to 34 years","11.7","21.9","11.4","19.7"
"35 to 39 years","12.5","23.3","10.8","20.7"
"40 to 44 years","12.0","22.2","10.1","19.4"
"45 to 49 years","11.5","21.3","10.4","18.9"
"50 to 54 years","11.5","17.0","12.1","19.5"
"55 to 59 years","11.6","21.9","14.1","20.8"
"60 to 64 years","16.7","31.8","14.0","24.8"
"65 to 69 years","12.7","48.8","13.5","39.8"
"70 to 74 years","15.3","58.7","11.1","49.6"
"75 to 79 years","16.1","59.7","12.1","58.6"
"80 to 84 years","20.0","66.7","9.3","59.9"
"85 years and older","24.5","67.4","12.6","58.8"
