"year","host city","host nation","individual","individual","individual","team","team","team"
"year","host city","host nation","gold","silver","bronze","gold","silver","bronze"
"2020","shanghai","china","none","none","none","none","none","none"
"2019","kirchheim","germany","none","none","none","none","none","none"
"2018","prague","czech republic","japan kota morinishi","france bastien vial-jaime","estonia tiit vunk","japan","china","germany"
"2017","bangalore","india","japan kota morinishi","estonia tiit vunk","china qiu yanzhe","china","japan","france"
"2016","senec","slovakia","estonia tiit vunk","czech republicjakub ondrousek","japan kota morinishi","czech republic","china","japan"
"2015","sofia","bulgaria","japan kota morinishi","estonia tiit vunk","czech republicjakub ondrousek","japan","china","czech republic"
"2014","london","united kingdom","japan kota morinishi","estonia tiit vunk","france bastien vial-jaime czech republicjakub ondrousek(tied)","japan","germany","china"
"2013","beijing","china","china jin ce","japan kota morinishi","czech republic jakub ondrousek","china","czech republic","japan"
"2012","kraljevica","croatia","poland jan mrozowski","japan kota morinishi","japan hideaki jo","japan","czech republic","china"
"2011","eger","hungary","united states thomas snyder","japan kota morinishi","estonia tiit vunk","germany","czech republic","united states"
"2010","philadelphia","united states","poland jan mrozowski","czech republic jakub ondrousek","japan hideaki jo","germany","czech republic","japan"
"2009","zilina","slovakia","poland jan mrozowski","serbia branko ceranic","czech republic robert babilon","slovakia","czech republic","serbia"
"2008","goa","india","united states thomas snyder","japan yuhei kusui","czech republic jakub ondrousek","czech republic","japan","germany"
"2007","prague","czech republic","united states thomas snyder","japan yuhei kusui","slovakia peter hudak","japan","united states","czech republic"
"2006","lucca","italy","czech republic jana tylova","united states thomas snyder","united states wei-hwa huang","none","none","none"
