"","count of all shelters","population in shelters","population in shelters","population in shelters","population in shelters"
"","count of all shelters","all shelters","shelters for persons lacking a fixed address","shelters for abused women and their children","other shelters and lodging with assistance"
"canada","995","22,190","15,505","5,365","1,320"
"newfoundland and labrador","15","100","35","50","10"
"prince edward island","5","10","0","10","0"
"nova scotia","30","325","165","115","50"
"new brunswick","20","190","95","45","50"
"quebec","205","3,035","1,725","745","560"
"ontario","305","8,780","6,475","2,075","235"
"manitoba","75","725","520","190","15"
"saskatchewan","35","490","250","160","80"
"alberta","95","4,235","3,240","840","155"
"british columbia","185","4,025","2,820","1,055","145"
"yukon","5","75","30","40","5"
"northwest territories","10","150","110","35","0"
"nunavut","5","50","40","0","10"
