"type of decision","accused females","accused females","accused males","accused males","total cases","total cases"
"type of decision","number","percent","number","percent","number","percent"
"intimate partner violence (ipv) cases","","","","","",""
"guilty","11,674","44","95,894","63","107,568","60"
"acquitted","275","1","2,509","2","2,784","2"
"stayed or withdrawn","14,299","54","53,643","35","67,942","38"
"other decisions","296","1","1,236","1","1,532","1"
"total ipv decisions","26,544","100","153,282","100","179,826","100"
"non-intimate partner violence (non-ipv) cases","","","","","",""
"guilty","14,303","57","73,519","65","87,822","64"
"acquitted","309","1","2,245","2","2,554","2"
"stayed or withdrawn","10,058","40","36,458","32","46,516","34"
"other decisions","240","1","1,114","1","1,354","1"
"total non-ipv decisions","24,910","100","113,336","100","138,246","100"
"total decisions","51,454","..","266,618","..","318,072",".."
