"most serious offence","length of sentenced custody","length of sentenced custody","length of sentenced custody","length of sentenced custody","length of sentenced custody","length of sentenced custody","length of sentenced custody","length of sentenced custody"
"most serious offence","1 month or less","more than 1 month to 3 months","more than 3 months to 6 months","more than 6 months to 12 months","more than 12 months to less than 2 years","2 years or more","unknown","total cases sentenced to custody"
"most serious offence","percent","percent","percent","percent","percent","percent","percent","percent"
"intimate partner violence (ipv) cases","","","","","","","",""
"common assault","59.0","28.0","7.5","1.3","0.2","0.1","4.0","100"
"major assault","28.2","26.5","18.4","11.2","4.4","3.4","7.9","100"
"uttering threats","52.0","28.3","11.2","2.3","0.3","0.2","5.6","100"
"criminal harassment","48.7","34.6","11.4","3.1","0.3","0.5","1.4","100"
"mischief","67.3","19.3","4.6","1.1","0.4","0.0","7.3","100"
"breach of probation","57.0","24.1","5.8","0.8","0.1","0.1","12.0","100"
"failure to comply with court order","70.5","13.5","2.7","0.5","0.0","0.0","12.8","100"
"sexual assault","10.9","16.0","15.1","16.7","15.4","21.5","4.5","100"
"other offences","41.6","22.9","12.3","5.9","2.7","4.0","10.7","100"
"total guilty ipv cases","51.9","23.6","9.3","3.6","1.4","1.5","8.7","100"
"non-intimate partner violence (non-ipv) cases","","","","","","","",""
"common assault","64.5","23.8","6.6","1.2","0.3","0.1","3.5","100"
"major assault","32.3","26.4","15.5","10.3","4.5","4.4","6.6","100"
"uttering threats","58.5","25.7","8.2","1.8","0.2","0.3","5.2","100"
"criminal harassment","52.8","25.9","10.5","4.9","1.6","2.0","2.3","100"
"mischief","65.2","22.4","4.9","0.9","0.3","0.4","6.0","100"
"breach of probation","64.0","21.9","5.3","0.7","0.0","0.0","8.0","100"
"failure to comply with court order","75.1","12.8","3.1","0.5","0.1","0.0","8.3","100"
"sexual assault","13.5","17.0","12.3","15.0","14.3","21.6","6.3","100"
"other offences","34.1","19.1","11.5","8.6","5.6","13.3","7.7","100"
"total guilty non-ipv cases","43.7","21.5","10.4","6.6","3.8","7.2","6.8","100"
