"nation","men","men","women","women","total"
"nation","men's individual","men's team","women's individual","women's team","athletes"
"australia","1","none","1","none","2"
"bangladesh","1","none","none","none","1"
"belarus","none","none","1","none","1"
"bhutan","none","none","1","none","1"
"brazil","1","none","none","none","1"
"bulgaria","1","none","none","none","1"
"canada","1","none","1","none","2"
"chile","none","none","1","none","1"
"china","3","x","3","x","6"
"colombia","1","none","1","none","2"
"ivory coast","1","none","none","none","1"
"cuba","1","none","none","none","1"
"denmark","none","none","3","x","3"
"egypt","1","none","1","none","2"
"estonia","none","none","1","none","1"
"fiji","1","none","none","none","1"
"france","3","x","1","none","4"
"georgia","none","none","1","none","1"
"germany","1","none","1","none","2"
"great britain","3","x","3","x","6"
"greece","none","none","1","none","1"
"hong kong","1","none","none","none","1"
"iran","1","none","1","none","2"
"iraq","none","none","1","none","1"
"india","3","x","3","x","6"
"indonesia","none","none","1","none","1"
"italy","3","x","3","x","6"
"japan","3","x","3","x","6"
"kazakhstan","1","none","1","none","2"
"luxembourg","1","none","none","none","1"
"malaysia","3","x","1","none","4"
"mexico","3","x","3","x","6"
"moldova","1","none","none","none","1"
"mongolia","1","none","1","none","2"
"myanmar","1","none","none","none","1"
"netherlands","1","none","none","none","1"
"norway","1","none","none","none","1"
"north korea","none","none","1","none","1"
"philippines","1","none","1","none","2"
"poland","1","none","1","none","2"
"russia","none","none","3","x","3"
"samoa","none","none","1","none","1"
"san marino","1","none","none","none","1"
"south africa","none","none","1","none","1"
"south korea","3","x","3","x","6"
"spain","1","none","1","none","2"
"slovenia","1","none","none","none","1"
"sweden","none","none","1","none","1"
"switzerland","1","none","1","none","2"
"chinese taipei","3","x","3","x","6"
"thailand","1","none","none","none","1"
"turkey","none","none","1","none","1"
"ukraine","3","x","3","x","6"
"united states","3","x","3","x","6"
"venezuela","1","none","1","none","2"
"total: 55 nocs","64","12","64","12","128"
