"","charter of rights and freedoms","flag","national anthem","rcmp","hockey"
"","percent","percent","percent","percent","percent"
"total","70","69","64","55","46"
"age group","","","","",""
"15-24","70","56","51","48","47"
"25-34","71","65","59","51","50"
"35-44","75","71","66","57","48"
"45-54","71","73","66","57","46"
"55-64","68","71","65","56","43"
"65-74","67","74","72","57","42"
"75","63","78","77","63","46"
"highest level of education completed","","","","",""
"less than high school","65","68","66","60","46"
"high school","71","69","64","58","49"
"post-secondary diploma","70","71","67","57","47"
"university degree","72","66","59","46","42"
"household income","","","","",""
"less than $20,000","68","66","61","52","42"
"$20,000-$39,999","70","70","66","58","43"
"$40,000-$59,999","70","66","64","55","44"
"$60,000-$79,999","69","68","63","55","45"
"$80,000-$99,999","73","70","63","54","48"
"$100,000-$149,999","70","68","61","52","46"
"$150,000","73","70","63","50","49"
"immigrant status","","","","",""
"immigrant status","80","79","75","62","50"
"non-immigrant","68","66","61","53","45"
"visible minority","","","","",""
"visible minority","82","78","73","59","52"
"non-visible minority","68","67","62","54","45"
"aboriginal identity","","","","",""
"aboriginal","74","72","68","62","54"
"non-aboriginal","70","69","64","54","46"
