"","canada","n.l","p.e.i","n.s","n.b","que","on","mb","sask","alta","b.c"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"human rights","","","","","","","","","","",""
"great extent","54","54","50","50","52","47","59","45","49","54","57"
"moderate extent","38","39","44","43","39","42","36","46","42","39","36"
"small extent or no extent","6","5","4","4","7","9","4","7","6","5","5"
"respect for law","","","","","","","","","","",""
"great extent","47","50","41","42","44","41","52","39","39","47","48"
"moderate extent","45","42","52","51","47","45","42","51","53","46","45"
"small extent or no extent","7","7","7","6","8","12","5","8","7","6","6"
"gender equality","","","","","","","","","","",""
"great extent","47","43","37","41","42","46","50","43","41","47","47"
"moderate extent","44","49","55","50","48","42","43","48","49","46","46"
"small extent or no extent","7","7","7","8","9","10","6","7","8","6","5"
"linguistic duality","","","","","","","","","","",""
"great extent","31","41","36","34","34","29","33","31","26","26","28"
"moderate extent","42","44","48","47","41","36","44","44","44","42","42"
"small extent or no extent","25","13","14","17","22","33","21","21","28","29","27"
"ethnic and cultural diversity","","","","","","","","","","",""
"great extent","41","41","38","36","35","29","47","42","34","42","47"
"moderate extent","44","46","49","51","47","48","41","44","50","47","42"
"small extent or no extent","12","9","10","10","14","20","9","11","12","10","9"
"respect for aboriginal culture","","","","","","","","","","",""
"great extent","26","34","30","28","27","18","30","25","22","25","30"
"moderate extent","42","45","46","45","45","36","42","41","47","46","44"
"small extent or no extent","30","19","22","25","25","41","26","31","29","27","25"
