"","human rights","respect for law","gender equality","linguistic duality","ethnic and cultural diversity","aboriginal culture"
"","percent believing to a great extent that canadians share beliefs","percent believing to a great extent that canadians share beliefs","percent believing to a great extent that canadians share beliefs","percent believing to a great extent that canadians share beliefs","percent believing to a great extent that canadians share beliefs","percent believing to a great extent that canadians share beliefs"
"total","54","47","47","31","41","26"
"age group","","","","","",""
"15-24","57","44","54","39","52","31"
"25-34","58","43","53","29","47","25"
"35-44","57","50","51","31","44","28"
"45-54","54","49","44","28","39","27"
"55-64","53","50","42","28","36","23"
"65-74","48","45","39","29","30","22"
"75","44","43","38","30","26","24"
"highest level of education completed","","","","","",""
"less than high school","46","42","44","38","39","31"
"high school","51","42","46","33","40","28"
"post-secondary diploma","52","44","47","29","39","25"
"university degree","64","57","51","25","45","22"
"household income","","","","","",""
"less than $20,000","52","47","45","38","41","33"
"$20,000-$39,999","49","44","44","34","36","29"
"$40,000-$59,999","51","43","45","31","38","25"
"$60,000-$79,999","54","48","48","31","42","27"
"$80,000-$99,999","55","47","46","30","42","26"
"$100,000-$149,999","58","48","49","25","41","21"
"$150,000","63","53","52","25","45","20"
"immigrant status","","","","","",""
"immigrant status","64","64","58","42","57","40"
"non-immigrant","51","42","44","27","36","22"
"visible minority","","","","","",""
"visible minority","65","64","61","46","62","43"
"non-visible minority","52","43","45","27","37","23"
"aboriginal identity","","","","","",""
"aboriginal","50","36","45","36","40","32"
"non-aboriginal","54","47","47","30","41","26"
