"trust in others","police","school system","banks","justice system and courts","media","federal parliament","major corporations"
"trust in others","percent","percent","percent","percent","percent","percent","percent"
"people in general","","","","","","",""
"most people can be trusted","83","68","64","66","45","41","34"
"you cannot be too careful in dealing with people","68","53","54","48","35","33","25"
"family","","","","","","",""
"can be trusted","78","63","61","59","41","39","31"
"neither trustworthy nor untrustworthy","49","36","42","34","24","21","16"
"cannot be trusted","37","31","36","24","25","16","16"
"people in my neighbourhood","","","","","","",""
"can be trusted","83","68","66","65","47","42","36"
"neither trustworthy nor untrustworthy","70","53","52","50","32","32","23"
"cannot be trusted","53","43","45","37","25","28","19"
"colleagues at work or school","","","","","","",""
"can be trusted","81","68","62","63","43","41","33"
"neither trustworthy nor untrustworthy","65","49","49","48","29","31","21"
"cannot be trusted","49","34","37","33","22","23","14"
"people who speak another language","","","","","","",""
"can be trusted","84","70","66","67","49","44","37"
"neither trustworthy nor untrustworthy","71","54","54","51","34","32","24"
"cannot be trusted","60","45","49","41","27","30","21"
"strangers","","","","","","",""
"can be trusted","85","73","67","70","55","45","42"
"neither trustworthy nor untrustworthy","80","64","61","61","43","37","32"
"cannot be trusted","71","55","56","51","35","36","26"
"a lost wallet containing $200 would be returned by a neighbour","","","","","","",""
"very likely","83","67","65","63","47","42","36"
"somewhat likely","74","59","57","56","36","36","27"
"not at all likely","57","48","49","43","30","28","21"
"a lost wallet containing $200 would be returned by a police officer","","","","","","",""
"very likely","86","67","65","65","45","43","35"
"somewhat likely","55","47","47","41","29","25","20"
"not at all likely","25","37","37","22","23","15","14"
"a lost wallet containing $200 would be returned by a stranger","","","","","","",""
"very likely","86","73","69","71","56","48","46"
"somewhat likely","79","63","61","61","42","38","31"
"not at all likely","70","56","56","50","36","35","27"
"total - great deal or some confidence","76","61","59","57","40","38","30"
