"individual experience or neighbourhood characteristic","being approachable and easy to talk to","ensuring safety of citizens","promptly responding to calls","treating people fairly","enforcing the laws","providing information on ways to prevent crime"
"individual experience or neighbourhood characteristic","percent","percent","percent","percent","percent","percent"
"victim of crime","","","","","",""
"not a victim of crime in the past 12 months","75","74","72","71","68","65"
"victimized once","65","61","60","60","55","53"
"victimized twice","56","49","49","50","46","43"
"victimized three or more times","51","42","45","43","38","39"
"contact with police","","","","","",""
"contact with police in past 12 months","68","65","63","62","59","58"
"no contact with police in past 12 months","75","73","71","71","67","64"
"satisfaction with personal safety from crime","","","","","",""
"very satisfied","80","80","77","77","75","69"
"satisfied","70","68","67","66","63","61"
"neither satisfied nor dissatisfied","56","44","47","48","41","42"
"dissatisfied","51","34","45","42","30","36"
"very dissatisfied","49","46","35","50","28","38"
"neighbourhood crime compared to five years ago","","","","","",""
"increased","63","50","53","55","47","51"
"decreased","70","71","70","65","66","62"
"about the same","74","73","70","70","67","63"
"neighbourhood crime compared to other neighbourhoods","","","","","",""
"higher","55","46","51","49","44","47"
"lower","75","74","71","71","68","64"
"about the same","66","61","61","61","57","55"
"neighbourhood disorder","","","","","",""
"one or more big problems","56","47","49","51","41","46"
"one or more moderate problems","63","59","58","58","54","54"
"one or more small problems","72","69","66","66","63","58"
"no problems at all","79","79","76","76","73","69"
"total - believe police are doing a good job","73","70","68","68","65","62"
