"census metropolitan area","being approachable and easy to talk to","ensuring safety of citizens","promptly responding to calls","treating people fairly","enforcing the laws","providing information on ways to prevent crime"
"census metropolitan area","percent","percent","percent","percent","percent","percent"
"st. john's","76","64","53","66","55","64"
"halifax","74","68","68","65","59","58"
"moncton","78","77","73","75","72","65"
"saint john","80","74","69","74","69","65"
"saguenay","79","79","75","85","73","72"
"quebec","73","82","81","80","76","71"
"sherbrooke","69","78","81","77","79","75"
"trois-rivieres","76","82","72","81","79","79"
"montreal","68","74","73","69","68","60"
"gatineau","65","70","66","65","65","56"
"ottawa","81","76","80","76","74","67"
"kingston","74","80","68","73","68","75"
"peterborough","72","61","60","63","48","63"
"oshawa","78","77","73","71","70","63"
"toronto","70","68","70","64","65","58"
"hamilton","77","74","70","72","65","67"
"st. catharines-niagara","70","61","64","59","55","58"
"kitchener-cambridge-waterloo","79","76","71","70","71","67"
"brantford","76","76","74","73","60","58"
"guelph","71","77","88","67","78","58"
"london","78","73","70","71","68","63"
"windsor","73","73","75","65","69","67"
"barrie","59","64","52","60","54","61"
"greater sudbury","64","60","49","55","59","55"
"thunder bay","67","51","52","56","55","57"
"winnipeg","67","60","50","59","53","56"
"regina","71","63","55","63","62","63"
"saskatoon","69","64","59","57","56","55"
"calgary","75","76","76","72","75","64"
"edmonton","70","63","59","62","55","62"
"kelowna","69","64","63","61","59","59"
"abbotsford-mission","78","69","64","67","71","65"
"vancouver","71","65","65","63","59","55"
"victoria","79","76","73","72","71","64"
"total - census metropolitan areas","72","70","69","67","65","61"
