"type of workplace accommodation","require","require","needs met"
"type of workplace accommodation","number","percent","percent"
"one or more workplace accommodations","772,110","37.3",".."
"modified hours or days or reduced work hours","393,410","19.0","73.7"
"modified or different duties","278,870","13.5","66.1"
"special chair or back support","232,470","11.2","61.0"
"modified or ergonomic workstation","215,720","10.4","60.3"
"working from home","171,850","8.3","69.6"
"computer, laptop or tablet with specialized software","65,280","3.2","45.4"
"human support","55,280","2.7","56.6"
"adapted or accessible parking","51,440","2.5","58.0"
"technical aids","35,070","1.7","44.5"
"accessible elevators","34,520","1.7","62.3"
"handrails, ramps, widened doorways or hallways","23,690","1.1","63.4"
"communication aids","23,240","1.1","41.3"
"adapted washroom","17,760","0.9","74.6"
"specialized transportation","12,170","0.6","46.8"
"other equipment, help, or work arrangement","47,960","2.3","57.6"
