"year","team","games","games","tackles","tackles","tackles","tackles","interceptions","interceptions","interceptions","interceptions","fumbles","fumbles","fumbles"
"year","team","g","gs","comb","solo","ast","sacks","pd","int","yds","td","ff","fr","td"
"1985","no","16","9","68","0","0","0.0","0","2","13","0","3","5","1"
"1986","no","16","1","20","0","0","0.0","0","0","0","0","3","0","0"
"1987","kc","10","7","44","0","0","3.0","0","0","0","0","1","0","0"
"1988","kc","15","10","77","0","0","1.0","0","1","0","0","0","1","0"
"1989","dal","14","12","58","0","0","0.0","0","0","0","0","0","2","1"
"1990","dal","16","16","104","0","0","1.5","0","0","0","0","1","0","0"
"1991","dal","16","16","130","0","0","0.0","0","0","0","0","1","1","0"
"1992","min","16","16","153","0","0","2.0","0","2","92","1","1","2","0"
"1993","min","16","16","169","0","0","0.5","0","4","3","0","1","0","0"
"1994","min","16","16","129","86","43","2.0","0","3","5","0","1","2","0"
"1995","min","9","9","53","32","21","3.0","0","1","15","0","0","1","0"
"total","total","160","128","1,005","118","64","13.0","0","13","128","1","12","14","2"
