"season","team","games","games","receiving","receiving","receiving","receiving","receiving"
"season","team","gp","gs","rec","yds","avg","lng","td"
"2013","ari","16","0","11","140","12.7","32","1"
"2014","ari","16","2","22","229","10.4","26","2"
"2015","ari","16","0","11","144","13.1","39","1"
"2016","ari","7","2","11","187","17.0","51","1"
"2017","ari","16","8","31","477","15.4","52","4"
"2018","sea","16","2","14","166","11.9","45","5"
"total","total","87","14","100","1,343","13.4","52","14"
"reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:","reference:"
