"characteristic","any mups","any mups","any mups","any mups","chronic fatigue syndrome","chronic fatigue syndrome","chronic fatigue syndrome","chronic fatigue syndrome","multiple chemical sensitivity","multiple chemical sensitivity","multiple chemical sensitivity","multiple chemical sensitivity","fibromyalgia","fibromyalgia","fibromyalgia","fibromyalgia"
"characteristic","number 000s","%","95% confidence interval","95% confidence interval","number 000s","%","95% confidence interval","95% confidence interval","number 000s","%","95% confidence interval","95% confidence interval","number 000s","%","95% confidence interval","95% confidence interval"
"characteristic","number 000s","%","from","to","number 000s","%","from","to","number 000s","%","from","to","number 000s","%","from","to"
"total","1,348.9","5.5","5.2","5.8","389.9","1.6","1.4","1.8","671.5","2.7","2.5","3.0","500.3","2.0","1.8","2.3"
"sex","","","","","","","","","","","","","","","",""
"men","369.4","3.1","2.8","3.4","145.8","1.2","1.1","1.4","169.6","1.4","1.2","1.7","88.5","0.7","0.6","1.0"
"women","979.5","7.8","7.3","8.4","244.2","1.9","1.7","2.2","501.9","4.0","3.6","4.4","411.8","3.3","3.0","3.7"
"age group","","","","","","","","","","","","","","","",""
"25 to 44","266.8","2.8","2.5","3.2","86.9","0.9","0.7","1.2","138.4","1.5","1.2","1.8","74.8","0.8","0.6","1.0"
"45 to 59","485.9","6.5","5.8","7.2","123.8","1.6","1.4","2.0","230.0","3.1","2.6","3.5","208.4","2.8","2.3","3.3"
"60 to 74","448.1","8.1","7.5","8.8","131.7","2.4","2.0","2.8","230.7","4.2","3.7","4.7","177.1","3.2","2.8","3.7"
"75 or older","148.2","7.3","6.3","8.3","47.7","2.3","1.9","2.8","72.4","3.5","2.8","4.4","40.0","1.9","1.5","2.5"
"highest level of household education","","","","","","","","","","","","","","","",""
"postsecondary graduation","745.3","4.8","4.5","5.2","197.7","1.3","1.1","1.5","402.3","2.6","2.3","2.9","268.5","1.7","1.5","2.0"
"less than postsecondary graduation","579.3","6.7","6.2","7.3","184.9","2.1","1.8","2.5","255.3","3.0","2.6","3.3","225.8","2.6","2.2","3.1"
"household income quintile","","","","","","","","","","","","","","","",""
"1","390.7","8.7","7.8","9.7","149.8","3.3","2.8","4.0","172.4","3.8","3.3","4.5","150.9","3.3","2.8","2.8"
"2","310.9","6.4","5.7","7.1","91.1","1.9","1.5","2.3","146.2","3.0","2.5","3.5","124.1","2.5","2.1","2.1"
"3","243.7","5.0","4.4","5.8","60.4","1.2","1.0","1.6","139.4","2.9","2.4","3.4","82.5","1.7","1.3","1.3"
"4","231.4","4.6","3.9","5.4","50.0","1.0","0.8","1.3","111.1","2.2","1.8","2.7","91.2","1.8","1.3","1.3"
"5","167.9","3.3","2.8","3.8","37.8","0.7","0.6","0.9","99.1","1.9","1.6","2.3","51.1","1.0","0.8","0.8"
"marital status","","","","","","","","","","","","","","","",""
"married/common-law","808.4","4.8","4.4","5.2","217.8","1.3","1.1","1.5","402.9","2.4","2.1","2.6","301.4","1.8","1.5","2.0"
"widowed/separated/divorced","332.6","9.1","8.2","10.1","93.0","2.5","2.2","3.0","159.3","4.3","3.7","5.1","140.3","3.8","3.2","4.6"
"never married","203.1","5.3","4.6","6.0","75.8","2.0","1.5","2.5","108.2","2.8","2.3","3.4","57.5","1.5","1.1","1.9"
"cultural identity/race","","","","","","","","","","","","","","","",""
"white","1,053.9","5.7","5.4","6.1","297.7","1.6","1.4","1.8","517.8","2.8","2.6","3.1","407.9","2.2","2.0","2.5"
"non-white","245.9","4.7","4.0","5.5","70.1","1.3","1.0","1.8","136.7","2.6","2.1","3.2","68.4","1.3","1.0","1.7"
