"","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for hunting, fishing or trapping in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months","reasons for gathering wild plants or berries in the previous 12 months"
"","for pleasure or leisure","own use/family's use","to share with others in the community","for cultural reasons","for money or to supplement income","for some other reason","for pleasure or leisure","own use/family's use","to share with others in the community","for cultural reasons","for money or to supplement income","for some other reason"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"sex","","","","","","","","","","","",""
"males","91","85","33","24","3","9","75","94","45","34","4","9"
"females","89","82","25","21","1","8","81","95","44","32","4","11"
"age group","","","","","","","","","","","",""
"15 to 24 years","90","77","29","15","2","9","81","92","47","21","3","13"
"25 to 54 years","90","85","28","24","3","8","79","95","44","34","3","8"
"55 years or older","90","88","34","26","4","9","75","96","43","36","4","12"
"labour force status","","","","","","","","","","","",""
"employed","91","84","28","23","2","9","79","95","44","32","3","9"
"unemployed","82","81","40","26","7","f","71","98","52","33","f","9"
"out of the labour force","88","84","32","21","3","6","77","95","44","35","5","12"
"place of residence","","","","","","","","","","","",""
"urban","91","81","27","20","1","9","80","94","44","33","2","12"
"rural","88","89","35","27","5","8","75","96","45","33","6","8"
