"","hunted, fished or trapped at least once a week during season","gathered wild plants or berries at least once a week during season"
"","percent","percent"
"sex","",""
"males","66","70"
"females","57","71"
"age group","",""
"15 to 24 years","59","68"
"25 to 54 years","63","71"
"55 years or older","67","72"
"labour force status","",""
"employed","60","71"
"unemployed","64","68"
"out of the labour force","65","69"
"place of residence","",""
"rural","53","54"
"urban","39","46"
"inuit nunangat","67","76"
