"team","year","regular season","regular season","regular season","regular season","regular season","post season","post season","post season","post season"
"team","year","won","lost","ties","win %","finish","won","lost","win %","result"
"hou","1994","1","5","0",".167","4th in afc central","-","-","-","-"
"hou","1995","7","9","0",".438","3rd in afc central","-","-","-","-"
"hou","1996","8","8","0",".500","4th in afc central","-","-","-","-"
"tno","1997","8","8","0",".500","3rd in afc central","-","-","-","-"
"tno","1998","8","8","0",".500","2nd in afc central","-","-","-","-"
"ten","1999","13","3","0",".813","2nd in afc central","3","1",".750","lost to st. louis rams in super bowl xxxiv"
"ten","2000","13","3","0",".813","1st in afc central","0","1",".000","lost to baltimore ravens in afc divisional game"
"ten","2001","7","9","0",".438","4th in afc central","-","-","-","-"
"ten","2002","11","5","0",".688","1st in afc south","1","1",".500","lost to oakland raiders in afc championship game"
"ten","2003","12","4","0",".750","2nd in afc south","1","1",".500","lost to new england patriots in afc divisional game"
"ten","2004","5","11","0",".313","3rd in afc south","-","-","-","-"
"ten","2005","4","12","0",".250","3rd in afc south","-","-","-","-"
"ten","2006","8","8","0",".500","2nd in afc south","-","-","-","-"
"ten","2007","10","6","0",".625","3rd in afc south","0","1",".000","lost to san diego chargers in afc wild-card game"
"ten","2008","13","3","0",".813","1st in afc south","0","1",".000","lost to baltimore ravens in afc divisional game"
"ten","2009","8","8","0",".500","3rd in afc south","-","-","-","-"
"ten","2010","6","10","0",".375","4th in afc south","-","-","-","-"
"hou/ten total","hou/ten total","142","120","0",".542","none","5","6",".455","none"
"stl","2012","7","8","1",".469","3rd in nfc west","-","-","-","-"
"stl","2013","7","9","0",".438","4th in nfc west","-","-","-","-"
"stl","2014","6","10","0",".375","4th in nfc west","-","-","-","-"
"stl","2015","7","9","0",".438","3rd in nfc west","-","-","-","-"
"la","2016","4","9","0",".308","(fired)","-","-","-","-"
"stl / la total","stl / la total","31","45","1",".414","none","0","0",".000","none"
"total","total","173","165","1",".512","none","5","6",".455","none"
