"","neither cyberbullied nor cyberstalked","cyberbullied, but not cyberstalked","cyberstalked, but not cyberbullied","cyberbullied and cyberstalked"
"","percent","percent","percent","percent"
"witnessed violence involving at least one parent before age 15","","","",""
"no","84.7","5.7","5.3","4.4"
"yes","66.4","10.1","9.1","14.4"
"experienced physical/sexual assault before age 15","","","",""
"no","87.4","4.8","4.4","3.4"
"yes","69.2","10.1","9.7","10.9"
"experienced discrimination in the last 5 years","","","",""
"no","87.7","4.7","4.3","3.3"
"yes","63.2","11.9","11.3","13.6"
