"","previously-published average level","revised average level","average revision"
"","millions of dollars","millions of dollars","millions of dollars"
"average 2014 to 2016","","",""
"household final consumption expenditure","1,117,679","1,118,525","846"
"government final consumption expenditure","417,638","416,967","-671"
"non-profit institutions serving households' final consumption expenditure","27,725","28,284","560"
"business gross fixed capital formation","393,280","399,524","6,244"
"government gross fixed capital formation","75,983","75,729","-254"
"non-profit institutions serving households' gross fixed capital formation","2,797","3,064","266"
"inventories","3,258","4,339","1,080"
"exports","627,403","628,983","1,580"
"imports","665,997","668,341","2,344"
"gross domestic product at market prices","1,998,951","2,006,867","7,915"
"2014","","",""
"household final consumption expenditure","1,083,548","1,083,056","-492"
"government final consumption expenditure","405,373","404,297","-1,076"
"non-profit institutions serving households' final consumption expenditure","26,769","26,826","57"
"business gross fixed capital formation","404,337","410,591","6,254"
"government gross fixed capital formation","72,216","72,806","590"
"non-profit institutions serving households' gross fixed capital formation","2,821","3,145","324"
"inventories","9,248","9,563","315"
"exports","626,280","627,641","1,361"
"imports","646,555","647,221","666"
"gross domestic product at market prices","1,983,117","1,990,183","7,066"
"2015","","",""
"household final consumption expenditure","1,115,965","1,117,690","1,725"
"government final consumption expenditure","417,730","417,011","-719"
"non-profit institutions serving households' final consumption expenditure","27,773","28,535","762"
"business gross fixed capital formation","390,858","398,389","7,531"
"government gross fixed capital formation","76,881","74,618","-2,263"
"non-profit institutions serving households' gross fixed capital formation","2,793","2,981","188"
"inventories","2,746","3,940","1,194"
"exports","627,234","628,955","1,721"
"imports","674,694","678,265","3,571"
"gross domestic product at market prices","1,986,193","1,994,911","8,718"
"2016","","",""
"household final consumption expenditure","1,153,523","1,154,829","1,306"
"government final consumption expenditure","429,811","429,594","-217"
"non-profit institutions serving households' final consumption expenditure","28,632","29,492","860"
"business gross fixed capital formation","384,644","389,592","4,948"
"government gross fixed capital formation","78,851","79,762","911"
"non-profit institutions serving households' gross fixed capital formation","2,778","3,065","287"
"inventories","-2,219","-487","1,732"
"exports","628,695","630,353","1,658"
"imports","676,743","679,538","2,795"
"gross domestic product at market prices","2,027,544","2,035,506","7,962"
