"division","area","permanent residents","hukou permits","divisions","divisions","divisions","divisions","divisions","divisions"
"division","area","permanent residents","hukou permits","subdistricts","towns","townships","including ethnic townships","residential communities","villages"
"shaoyang city","20,829.63","7,071,741","7,705,957","21","97","99","21","335","5551"
"shuangqing district","137.08","307,980","270,458","6","2","4","none","54","63"
"daxiang district","214.66","340,605","309,752","6","2","4","none","44","81"
"beita district","84.39","104,609","87,714","2","none","3","none","14","40"
"shaodong county","1,776.38","896,625","1,260,966","3","16","9","none","33","977"
"xinshao county","1,762.97","743,073","764,905","none","11","4","none","28","652"
"shaoyang county","1,996.88","915,600","999,148","none","12","10","none","23","633"
"longhui county","2,871.16","1,095,392","1,156,917","none","15","11","2","41","964"
"dongkou county","2184.01","770,473","833,003","none","10","12","3","23","566"
"suining county","2,898.89","351,139","363,740","none","6","19","14","14","348"
"xinning county","2,751.31","560,742","607,055","none","9","9","2","15","474"
"chengbu miao autonomous county","2,619.76","250,633","267,921","none","6","5","none","21","271"
"wugang city","1,532.15","734,870","784,378","4","8","9","none","25","482"
