"cause of death","number","percent","rank"
"female","","",""
"total - all causes of infant death","840","100.0",".."
"congenital malformations, deformations and chromosomal abnormalities","210","25.0","1"
"disorders related to short gestation and low birth weight, not elsewhere classified","125","14.9","2"
"newborn affected by maternal complications of pregnancy","70","8.3","3"
"newborn affected by complications of placenta, cord and membranes","60","7.1","4"
"intrauterine hypoxia and birth asphyxia","40","4.8","5"
"other causes of death","335","39.9",".."
"male","","",""
"total - all causes of infant death","980","100.0",".."
"congenital malformations, deformations and chromosomal abnormalities","205","20.9","1"
"disorders related to short gestation and low birth weight, not elsewhere classified","135","13.8","2"
"newborn affected by maternal complications of pregnancy","95","9.7","3"
"newborn affected by complications of placenta, cord and membranes","60","6.1","4"
"intrauterine hypoxia and birth asphyxia","30","3.1","5"
"other causes of death","455","46.4",".."
