"characteristics","yukon","yukon","northwest territories","northwest territories","nunavut","nunavut","all territories","all territories"
"characteristics","number","rate","number","rate","number","rate","number","rate"
"household size","","","","","","","",""
"1 or 2 people","2,252","234","1,887","236","f","f","5,210","253"
"3 or 4 people","746","165","1,499","264","1,198","397","3,444","261"
"5 people or more","f","f","f","f","718","199","1,618","230"
"living arrangement of household","","","","","","","",""
"alone","1,219","277","762","206","f","f","2,620","276"
"couple","679","171","703","220","f","f","1,646","205"
"couple with children","823","198","1,346","234","1,557","313","3,726","251"
"lone-parent family","f","f","848","388","438","255","1,830","304"
"other living arrangement","f","f","f","f","f","f","f","f"
"aboriginal identity","","","","","","","",""
"non-aboriginal households","2,396","223","1,457","218","468","380","4,321","232"
"aboriginal households","755","264","1,965","298","2,282","299","5,003","293"
"other households","f","f","5,000","197","f","f","948","188"
"household income","","","","","","","",""
"less than $40,000","f","f","f","f","f","216","1,619","270"
"$40,000 to $79,999","727","207","f","255","f","533","1,855","272"
"$80,000 to $149,999","825","205","750","196","951","526","2,526","261"
"$150,000 or more","f","f","1,163","315","642","420","2,292","319"
"dwelling ownership","","","","","","","",""
"owned","1,823","177","1,841","204","808","334","4,472","205"
"rented","1,539","304","2,081","311","2,179","310","5,799","309"
"living in the dwelling","","","","","","","",""
"less than 3 years","1,259","334","1,543","255","912","354","3,713","299"
"3 years or more","2,104","180","2,379","245","2,075","301","6,558","232"
"residential mobility - number of moves in past 5 years","","","","","","","",""
"none","1,694","176","1,976","237","1,581","277","5,251","222"
"1 or 2","1,132","316","1,014","247","729","274","2,875","278"
"3 or more","536","240","933","278","f","f","2,145","321"
"social disorder in the neighbourhood","","","","","","","",""
"no","1,359","125","1,255","152","519","114","3,134","132"
"yes","2,003","435","2,667","353","2,467","494","7,138","416"
"people in neighbourhood help each other","","","","","","","",""
"no","850","462","902","392","f","391","2,172","417"
"yes","2,345","180","2,822","218","2,479","299","7,647","223"
"likelihood that neighbours call the police if witness what seems like criminal behaviour","","","","","","","",""
"very likely","1,037","105","2,196","241","1,099","268","4,332","187"
"somewhat likely","1,302","363","1,228","261","1,201","367","3,731","322"
"unlikely","935","587","f","f","f","f","1,965","411"
