"characteristics","yukon","northwest territories","nunavut","all territories"
"characteristics","percent","percent","percent","percent"
"location of the incident","","","",""
"private residence","f","35","29","31"
"commercial or institutional establishment or public place","67","59","70","65"
"other","f","f","f","f"
"location of the incident is the victim's place of work","","","",""
"yes","f","f","f","20"
"no","70","78","74","74"
"don't know/refusal","f","f","f","f"
"sex of offender","","","",""
"male","68","81","80","77"
"female","f","f","f","23"
"age of offender","","","",""
"under 25 years old","f","f","f","33"
"25 to 44","f","53","47","47"
"45 years or older","f","f","f","17"
"relationship of offender to the victim","","","",""
"stranger","f","50","f","41"
"known to victim","64","50","65","59"
"don't know/refusal","f","f","f","f"
"number of offenders","","","",""
"one","87","84","85","85"
"two or more","f","f","f","f"
"incident related to the offender's alcohol or drug use","","","",""
"yes","63","72","54","63"
"no","f","f","f","26"
"don't know/refusal","f","f","f","f"
"presence of a weapon","","","",""
"yes","f","f","f","27"
"no","71","67","70","69"
"caused injuries","","","",""
"yes","f","f","f","16"
"no","93","86","73","84"
"victim reports effects consistent with post-traumatic stress disorder symptoms","","","",""
"yes","f","f","f","f"
"no","91","86","86","88"
