"","economic class","family class","government-assisted refugees","privately sponsored refugees","other refugees"
"","percent","percent","percent","percent","percent"
"second year after immigration","","","","",""
"attended school in the previous year","11.9","6.9","4.1","4.6","10.0"
"not in the labour force in the previous year","24.1","20.7","56.9","23.2","26.3"
"unemployed in the previous year","12.1","24.9","3.6","12.4","17.0"
"regional unemployment rate","11.1","10.9","11.9","10.6","10.8"
"percentage of own-group immigrants","4.7","4.4","1.9","2.6","3.7"
"fifth year after immigration","","","","",""
"attended school in the previous year","9.3","6.1","7.3","6.7","7.5"
"not in the labour force in the previous year","17.0","18.4","36.6","22.5","21.3"
"unemployed in the previous year","21.8","28.8","18.9","24.2","21.7"
"regional unemployment rate","11.0","10.9","11.7","10.4","11.3"
"percentage of own-group immigrants","5.3","4.8","2.1","2.7","4.2"
