"selected characteristics of perpetrators","male victims","female victims","total victims"
"selected characteristics of perpetrators","percent","percent","percent"
"type of perpetrator","","",""
"canadian armed forces member(s)","91","97","94"
"foreign military member(s)","f","f","f"
"department of national defence civilian(s) or contractor(s)","f","f","f"
"other","f","f","f"
"don't know","f","f","f"
"number of perpetrators","","",""
"lone","77","90","83"
"two or more","f","f","9.2"
"varied - sometimes one perpetrator, other times multiple perpetrators","f","f","9.8"
"don't know","f","f","f"
"sex of perpetrator","","",""
"always men","56","96","76"
"always women","28","f","14"
"combination of men and women","f","f","10"
"don't know","f","f","f"
"relationship to victim","","",""
"supervisor or higher rank","36","51","44"
"peer","65","46","54"
"subordinate - either in or outside chain of command","17","14","16"
"intimate partner","f","f","f"
"stranger","f","f","9.1"
"other","f","f","6.1"
"don't know","f","f","f"
"rank of perpetrator","","",""
"junior non-commissioned member","76","72","74"
"senior non-commissioned member","20","26","24"
"junior officer","17","f","12"
"senior officer","f","f","4.8"
"other","f","f","f"
"don't know","f","f","f"
