"selected characteristics of persons responsible","types of behaviour","types of behaviour","types of behaviour","types of behaviour","types of behaviour","types of behaviour","types of behaviour","types of behaviour","types of behaviour","types of behaviour"
"selected characteristics of persons responsible","sexual jokes","unwanted sexual attention","inappropriate sexual comments","inappropriate discussion about sex life","displaying, showing, or sending sexually explicit messages or materials","taking or posting inappropriate or sexually suggestive photos or videos of any canadian armed forces members, without consent","indecent exposure or inappropriate display of body parts","repeated pressure from the same person for dates or sexual relations","unwelcome physical contact or getting too close","offering workplace benefits for engaging in sexual activity or being mistreated for not engaging in sexual activity"
"selected characteristics of persons responsible","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"type of person responsible","","","","","","","","","",""
"canadian armed forces member(s)","97","95","94","96","97","91","94","95","94","f"
"foreign military member(s)","4.6","5.2","3.7","3.2","f","f","f","f","f","f"
"department of national defence civilian(s) or contractor(s)","14","9.8","9.2","10","7.9","f","f","7.8","5.7","f"
"other","12","5.7","6.9","8.2","9.1","f","f","f","3.4","f"
"don't know","2.2","f","3.3","f","f","f","f","f","f","f"
"number of persons responsible","","","","","","","","","",""
"lone","18","47","36","23","34","f","56","67","69","f"
"two or more","29","25","28","38","34","f","23","17","17","f"
"varied - sometimes one person, other times multiple people","39","22","26","29","24","f","17","11","8.2","f"
"don't know","14","5.9","10","10","f","f","f","f","6.1","f"
"sex of person responsible","","","","","","","","","",""
"always men","42","75","62","50","63","f","73","80","74","f"
"always women","3.4","9.6","6.0","4.1","f","f","f","9.0","13","f"
"combination of men and women","54","16","29","44","32","f","22","10","12","f"
"don't know","f","f","f","f","f","f","f","f","f","f"
"relationship to targeted member","","","","","","","","","",""
"supervisor or higher rank","52","50","48","50","39","f","19","49","48","f"
"peer","80","56","67","76","73","f","71","51","56","f"
"subordinate - either in or outside chain of command","30","20","22","28","25","f","25","17","17","f"
"other","14","10","8.9","9.5","8.4","f","f","9.4","5.7","f"
"don't know","3.9","8.9","4.6","4.7","f","f","f","f","f","f"
"rank of person responsible","","","","","","","","","",""
"junior non-commissioned member","84","73","79","83","91","f","93","77","69","57"
"senior non-commissioned member","49","39","39","39","32","f","12","24","26","59"
"junior officer","29","20","20","25","17","f","11","18","14","f"
"senior officer","13","11","7.3","11","7.1","f","f","6.3","9.3","f"
"other","5.4","f","4.5","4.3","f","f","f","f","f","f"
"don't know","3.0","f","f","f","f","f","f","f","f","f"
