"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"central coast mariners","2006-07","a-league","0","0","3","0","none","none","3","0"
"ais","2007","victorian premier league","24","3","0","0","none","none","24","3"
"newcastle jets","2007-08","a-league","11","3","0","0","none","none","11","3"
"newcastle jets","2008-09","a-league","12","0","0","0","0","0","12","0"
"newcastle jets","total","total","23","3","0","0","0","0","23","3"
"az alkmaar","2009-10","eredivisie","0","0","0","0","0","0","0","0"
"sparta rotterdam","2010-11","eerste divisie","14","2","0","0","none","none","14","2"
"austria wien","2011-12","austrian football bundesliga","11","0","2","0","none","none","13","0"
"austria wien","2012-13","austrian football bundesliga","34","0","5","0","none","none","39","0"
"austria wien","2013-14","austrian football bundesliga","33","0","1","0","9","0","43","0"
"austria wien","2014-15","austrian football bundesliga","27","0","4","0","none","none","31","0"
"austria wien","total","total","105","0","12","0","9","0","126","0"
"msv duisburg","2015-16","2. bundesliga","29","0","1","0","none","none","30","0"
"adelaide united","2016-17","a-league","13","0","0","0","0","0","13","0"
"liaoning whowin","2017","chinese super league","1","0","0","0","0","0","1","0"
"lask linz","2017-18","austrian football bundesliga","4","0","1","0","0","0","5","0"
"career total","career total","career total","213","8","17","0","9","0","239","8"
