"year","california","california","california","california","california","california","none","u.s","u.s","none","ca share of u.s. pev sales(3)","ratio ca/us market shares"
"year","all-electric","bev market share(1)","plug-in hybrid","phev market share(1)","total pev california","pev market share(1)","none","total pev sales","pev market share(2)","none","ca share of u.s. pev sales(3)","ratio ca/us market shares"
"2010","300","0.0%","97","0.0%","397","0.0%","none","397","0.003%","none","100%","none"
"2011","5,302","0.4%","1,662","0.1%","6,964","0.5%","none","17,821","0.14%","none","39.1%","3.57"
"2012","5,990","0.4%","14,103","0.9%","20,093","1.3%","none","53,392","0.37%","none","37.6%","3.51"
"2013","21,912","1.3%","20,633","1.2%","42,545","2.5%","none","96,602","0.62%","none","44.0%","4.03"
"2014","29,536","1.6%","29,949","1.6%","59,485","3.2%","none","123,347","0.71%","none","48.2%","4.27"
"2015","34,477","1.7%","27,740","1.4%","62,217","3.1%","none","114,248","0.66%","none","54.5%","4.70"
"2016","40,347","1.9%","34,727","1.7%","75,074","3.6%","none","157,181","0.90%","none","47.8%","4.00"
"2017","53,500","2.6%","45,040","2.2%","98,540","4.8%","none","194,479","1.13%","none","50.7%","4.23"
"2018","94,813","4.7%","62,846","3.1%","157,659","7.8%","none","361,307","2.10%","none","43.6%","3.71"
"none","none","none","none","none","none","none","none","none","none","none","none","none"
"total","286,177","n.a","236,797","n.a","522,974","n.a","none","1,118,722","n.a","none","46.7%","n.a"
"notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s","notes: (1) market share of total new car registrations in california. (2) u.s"
