"","1991","1996","2001","2006","2011","2016"
"","percent","percent","percent","percent","percent","percent"
"years since immigration","","","","","",""
"4","43.2","48.5","46.7","32.8","22.7",".."
"5","58.3","68.1","65.2","56.7","44.4","43.0"
"6","67.9","75.2","73.1","70.2","62.3","55.4"
"7","71.3","77.7","76.5","78.3","73.4","62.7"
"8","73.1","78.5","78.2","81.6","78.2","69.0"
"9","73.3","79.5","81.6","84.1","82.7","73.4"
"10","74.1","79.5","82.6","85.6","84.5","76.4"
"11","77.4","81.6","84.5","86.5","87.4","80.8"
"12","77.7","83.7","84.8","87.7","88.4","83.8"
"13","77.6","83.1","85.2","87.4","89.8","85.8"
"14","77.9","83.2","85.3","88.6","91.2","87.8"
"15","78.0","82.6","85.3","88.6","90.9","88.8"
"16 to 20","78.4","84.3","86.6","89.5","92.0","91.3"
"21 to 30","81.5","84.5","86.6","89.4","92.3","92.6"
"more than 30","91.6","91.8","90.3","91.0","92.8","91.9"
"total","81.6","83.7","84.5","85.7","86.3","86.2"
