"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"bury","1992-93","third division","5","3","3","0","0","0","2","1","10","4"
"burnley","1991-92","fourth division","6","0","0","0","1","1","2","1","9","2"
"burnley","1992-93","third division","0","0","0","0","0","0","0","0","0","0"
"burnley","total","total","6","0","0","0","1","1","2","1","9","2"
"fc erzgebirge aue","1993-94","nofv-oberliga sud","22","6","-","-","-","-","0","0","22","6"
"fc erzgebirge aue","1994-95","regionalliga nordost","21","6","-","-","-","-","1","0","22","6"
"fc erzgebirge aue","total","total","43","12","-","-","-","-","1","0","44","12"
"preußen koln","1995-96","oberliga nordrhein","21","3","-","-","-","-","0","0","21","3"
"ipswich town","1996-97","first division","29","2","1","0","6","1","1","0","37","2"
"ipswich town","1997-98","first division","23","1","1","0","2","0","1","0","27","1"
"ipswich town","1998-99","first division","4","0","0","0","2","0","0","0","6","0"
"ipswich town","total","total","56","3","2","0","10","1","2","0","70","3"
"sheffield wednesday","1998-99","premier league","26","3","3","0","0","0","0","0","29","3"
"sheffield wednesday","1999-2000","premier league","27","0","3","0","4","1","0","0","34","1"
"sheffield wednesday","total","total","53","3","6","0","4","1","0","0","63","4"
"birmingham city","2000-01","first division","26","1","1","0","9","1","2","0","38","2"
"birmingham city","2001-02","first division","15","1","0","0","3","0","0","0","18","1"
"birmingham city","total","total","41","2","1","0","12","1","2","0","56","3"
"walsall","2002-03","first division","24","4","2","0","2","0","0","0","28","4"
"nottingham forest","2003-04","first division","28","0","1","0","3","0","0","0","32","0"
"peterborough united","2004-05","league one","15","0","0","0","1","0","1","0","17","0"
"port vale","2004-05","league one","13","0","0","0","0","0","0","0","13","0"
"port vale","2005-06","league one","29","1","2","0","1","0","1","0","33","1"
"port vale","2006-07","league one","33","1","2","0","4","0","1","0","40","1"
"port vale","total","total","75","2","4","0","5","0","2","0","86","2"
"walsall","2007-08","league one","6","0","0","0","1","0","0","0","7","0"
"wrexham","2007-08","league two","9","1","0","0","0","0","0","0","9","1"
"career total","career total","career total","382","33","19","0","39","4","12","2","452","39"
