"none","lyndon baines johnson democratic","lyndon baines johnson democratic","barry morris goldwater republican","barry morris goldwater republican","various candidates other parties","various candidates other parties","margin","margin"
"county","%","","%","","%","","%",""
"sandoval","75.38%","3,332","24.37%","1,077","0.25%","11","51.02%","2,255"
"grant","71.82%","5,253","27.92%","2,042","0.26%","19","43.90%","3,211"
"rio arriba","69.56%","6,787","29.78%","2,906","0.66%","64","39.78%","3,881"
"mckinley","69.13%","6,913","29.65%","2,965","1.22%","122","39.48%","3,948"
"santa fe","68.12%","12,616","31.50%","5,834","0.37%","69","36.62%","6,782"
"san miguel","67.81%","5,767","31.91%","2,714","0.28%","24","35.90%","3,053"
"taos","67.39%","4,204","32.16%","2,006","0.45%","28","35.24%","2,198"
"colfax","66.95%","3,367","32.53%","1,636","0.52%","26","34.42%","1,731"
"los alamos","66.23%","3,767","33.32%","1,895","0.46%","26","32.91%","1,872"
"valencia","65.98%","7,757","33.60%","3,950","0.43%","50","32.38%","3,807"
"otero","63.13%","6,035","36.59%","3,498","0.28%","27","26.54%","2,537"
"eddy","62.20%","11,216","37.42%","6,747","0.38%","69","24.78%","4,469"
"hidalgo","60.89%","995","38.43%","628","0.67%","11","22.46%","367"
"guadalupe","60.78%","1,649","39.00%","1,058","0.22%","6","21.78%","591"
"mora","59.72%","1,509","40.13%","1,014","0.16%","4","19.59%","495"
"dona ana","59.43%","10,748","40.25%","7,280","0.32%","57","19.18%","3,468"
"luna","57.60%","2,286","41.95%","1,665","0.45%","18","15.65%","621"
"socorro","57.33%","2,397","42.43%","1,774","0.24%","10","14.90%","623"
"bernalillo","55.98%","55,036","43.31%","42,583","0.71%","698","12.67%","12,453"
"lea","55.57%","8,862","44.10%","7,033","0.33%","53","11.47%","1,829"
"torrance","54.88%","1,446","44.90%","1,183","0.23%","6","9.98%","263"
"de baca","54.35%","674","45.08%","559","0.56%","7","9.27%","115"
"sierra","51.86%","1,633","47.67%","1,501","0.48%","15","4.19%","132"
"quay","51.67%","2,333","47.86%","2,161","0.47%","21","3.81%","172"
"catron","51.66%","624","48.34%","584","0.00%","0","3.31%","40"
"roosevelt","51.03%","2,875","48.49%","2,732","0.48%","27","2.54%","143"
"chaves","50.55%","8,650","49.20%","8,419","0.25%","43","1.35%","231"
"curry","50.38%","5,228","49.34%","5,120","0.29%","30","1.04%","108"
"san juan","49.68%","6,901","49.01%","6,808","1.32%","183","0.67%","93"
"union","48.27%","1,159","51.31%","1,232","0.42%","10","3.04%","73"
"harding","47.62%","431","52.27%","473","0.11%","1","4.64%","42"
"lincoln","46.70%","1,565","52.55%","1,761","0.75%","25","5.85%","196"
