"club","season","league","league","league","cup","cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"skenderbeu korce","2014-15","albanian superliga","14","5","4","0","-","-","18","5","none","none"
"skenderbeu korce","2015-16","albanian superliga","28","5","2","0","11","1","-","-","41","6"
"skenderbeu korce","2016-17","albanian superliga","34","11","4","1","2","0","-","-","40","12"
"skenderbeu korce","2017-18","albanian superliga","-","-","8","4","-","-","8","4","none","none"
"skenderbeu korce","total","total","76","21","10","1","21","5","-","-","106","27"
"puskas akademia","2017-18","nemzeti bajnoksag i","12","0","2","1","-","-","14","1","none","none"
"puskas akademia","2018-19","nemzeti bajnoksag i","11","1","2","2","-","-","13","3","none","none"
"puskas akademia","total","total","23","1","4","3","-","-","27","4","none","none"
"career total","career total","career total","99","22","14","4","21","5","-","-","148","32"
