"no","pos","nat","player","total","total","tajik league","tajik league","tajik cup","tajik cup","super cup","super cup","afc cup","afc cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","serbia","nikola stosic","33","0","20","0","6","0","1","0","6","0"
"2","df","tajikistan","siyovush asrorov","25","1","15+1","0","4","1","1","0","4","0"
"3","df","tajikistan","tabrezi davlatmir","19","0","11+1","0","4","0","0+1","0","2","0"
"5","df","ukraine","artem baranovskyi","25","1","12+2","0","3+1","1","1","0","6","0"
"7","mf","uzbekistan","jahongir abdumominov","14","4","8","0","5+1","4","0","0","0","0"
"11","mf","tajikistan","muhammadjon rakhimov","26","2","10+6","2","4","0","1","0","2+3","0"
"13","mf","tajikistan","nozim babadjanov","32","4","6+12","1","5+2","2","0+1","1","4+2","0"
"14","fw","tajikistan","sheriddin boboev","29","16","15+5","12","3+1","4","0+1","0","1+3","0"
"17","fw","tajikistan","dilshod vasiev","34","11","10+11","6","6+1","4","1","0","1+4","1"
"18","mf","tajikistan","fatkhullo fatkhuloev","31","9","18+1","4","5","2","1","0","6","3"
"19","df","tajikistan","akhtam nazarov","35","6","19+2","2","7","2","1","0","6","2"
"20","mf","tajikistan","amirbek juraboev","33","1","19+1","1","7","0","1","0","5","0"
"23","mf","tajikistan","ehson panjshanbe","24","1","15+1","1","2","0","0","0","4+2","0"
"27","df","tajikistan","alisher sharipov","5","0","4","0","1","0","0","0","0","0"
"28","fw","tajikistan","komron tursunov","24","4","9+7","2","5+1","2","0+1","0","0+1","0"
"35","gk","russia","rustam yatimov","3","0","1","0","1+1","0","0","0","0","0"
"70","mf","tajikistan","shahrom sulaimonov","17","0","10","0","7","0","0","0","0","0"
"youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:","youth team players:"
"none","df","tajikistan","amir nigmatov","2","0","0","0","0+2","0","0","0","0","0"
"none","df","tajikistan","shahbol rajabov","1","0","1","0","0","0","0","0","0","0"
"none","df","tajikistan","khurshedi zainiddin","2","0","1","0","1","0","0","0","0","0"
"none","mf","tajikistan","farhod kosimov","3","0","1+1","0","1","0","0","0","0","0"
"none","fw","tajikistan","hamid golami","1","0","0+1","0","0","0","0","0","0","0"
"players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:","players away from istiklol on loan:"
"players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:","players who left istiklol during the season:"
"6","df","tajikistan","davron erghashev","11","0","5","0","0","0","0","0","5+1","0"
"7","mf","belarus","sergey tikhonovsky","6","0","2+1","0","0","0","1","0","2","0"
"9","fw","belarus","mikalay zyanko","15","5","7+1","2","0","0","1","1","6","2"
"21","mf","tajikistan","romish jalilov","16","3","9","2","0","0","1","0","6","1"
"33","df","ukraine","oleksandr garbar","2","0","2","0","0","0","0","0","0","0"
