"year","title","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","title","us","us r&b","us a/c","us dan","aus","bel","can","fra","ger","ire","nld","nz","swe","swi","uk","album"
"1982","the other woman","4","2","33","24","1","-","7","-","-","-","-","4","-","-","-","the other woman"
"1982","let me go","38","3","-","-","-","-","-","-","-","-","-","-","-","-","-","the other woman"
"1982","it's our own affair","106","44","-","-","-","-","-","-","-","-","-","-","-","-","-","the other woman"
"1982","bad boy","35","6","-","-","37","-","22","-","-","-","-","-","-","-","-","greatest hits"
"1983","the people next door","-","60","-","-","-","-","-","-","-","-","-","-","-","-","-","greatest hits"
"1983","i still can't get over loving you","12","12","10","-","89","-","26","-","-","-","-","48","-","-","-","woman out of control"
"1984","woman out of control","-","71","-","-","-","-","-","-","-","-","-","-","-","-","-","woman out of control"
"1984","in the heat of the night","-","64","-","-","-","-","-","-","-","-","-","-","-","-","-","woman out of control"
"1984","ghostbusters","1","1","9","6","2","1","1","1","4","4","5","2","2","3","2","ghostbusters / chartbusters"
"1984","jamie","14","12","6","-","-","-","43","-","-","-","-","16","-","-","-","chartbusters"
"1985","i've been diggin' you","-","-","-","-","-","38","-","-","-","-","-","-","-","-","-","chartbusters"
"1985","girls are more fun","34","21","-","-","-","-","32","-","-","-","-","-","-","-","46","sex and the single man"
"1985","one sided love affair","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","sex and the single man"
"1986",""one sunny day" / "dueling bikes from quicksilver"","96","-","-","-","-","-","-","-","-","-","-","-","-","-","-","quicksilver"
"1987","i don't think that man should sleep alone","68","5","42","-","-","-","-","-","-","18","47","-","-","-","13","after dark"
"1987","over you","-","10","38","-","-","-","-","-","-","-","-","-","-","-","65","after dark"
"1987","the past","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","after dark"
"1990","all i'm missing is you","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","glenn medeiros"
"1991","she needs to get some","-","34","-","-","-","-","-","-","-","-","-","-","-","-","-","i love you like you are"
"1991","girl i saw you","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","i love you like you are"
""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released",""-" denotes releases that did not chart or were not released"
