"no","nat","player","pos","super league","super league","super league","super league","fa cup","fa cup","fa cup","fa cup","malaysia cup","malaysia cup","malaysia cup","malaysia cup","afc cup","afc cup","afc cup","afc cup","total","total","total","total"
"no","nat","player","pos","apps","none","none","none","apps","none","none","none","apps","none","none","none","apps","none","none","none","apps","none","none","none"
"1","malaysia","khairul azhan","gk","8","none","none","none","2","none","none","none","8","none","none","none","2","none","none","none","20","none","none","none"
"2","australia","robert cornthwaite","df","8","none","1","none","none","none","none","none","none","none","none","none","3","none","none","none","11","none","1","none"
"3","malaysia","azmi muslim","df","9","none","none","none","2","none","1","none","7","none","1","none","4","none","none","none","22","none","2","none"
"4","liberia","patrick wleh","fw","19","9","2","none","2","2","none","none","10","6","1","none","6","2","1","none","37","19","4","none"
"5","malaysia","shahrom kalam","df","13","none","none","none","2","none","none","none","1","none","none","none","6","none","none","none","22","none","none","none"
"7","indonesia","andik vermansyah","mf","17","1","none","none","1","none","none","none","9","1","none","none","5","none","none","none","32","2","none","none"
"8","malaysia","saiful ridzuwan","mf","12","none","4","none","1","none","none","none","8","none","4","none","5","none","2","none","26","none","10","none"
"9","malaysia","adam nor azlin","fw","16","2","1","none","2","none","none","none","10","1","none","none","5","none","none","none","33","3","1","none"
"10","malaysia","nazmi faiz","mf","16","1","2","1","1","none","none","none","6","1","1","none","6","none","none","none","29","2","3","1"
"11","malaysia","hazwan bakri","mf","16","3","3","none","none","none","none","none","9","4","2","none","3","1","1","none","28","8","6","none"
"12","malaysia","bunyamin umar","df","10","none","none","none","1","none","none","none","9","none","1","1","2","none","1","none","22","none","2","1"
"13","malaysia","razman roslan","df","16","1","3","none","2","none","1","none","8","none","none","none","2","none","none","none","28","1","4","none"
"14","malaysia","hadi yahya","fw","8","none","none","none","2","1","none","none","5","1","none","none","2","none","none","none","17","2","none","none"
"15","malaysia","raimi mohd nor","df","16","none","3","none","2","none","none","none","4","none","1","none","2","none","2","none","24","none","6","none"
"16","argentina","mauro olivi","fw","17","2","1","none","1","none","none","none","5","2","none","none","5","3","2","none","28","7","3","none"
"17","malaysia","rizal fahmi","df","8","none","none","none","none","none","none","none","8","none","none","none","2","none","none","none","18","none","none","none"
"18","nigeria","ugo ukah","df","8","1","none","2","none","none","none","none","9","3","2","none","none","none","none","none","17","4","2","2"
"19","malaysia","s. subramaniam","df","none","none","none","none","none","none","none","none","2","none","none","none","none","none","none","none","2","none","none","none"
"20","malaysia","azrif nasrulhaq","df","11","1","2","none","2","none","1","none","1","none","1","none","5","none","1","none","19","1","5","none"
"21","malaysia","hafiz kamal","mf","17","2","6","none","2","none","none","none","4","none","none","none","3","1","2","1","26","3","8","1"
"22","malaysia","norazlan razali","gk","14","none","1","none","none","none","none","none","3","none","none","none","4","none","none","none","21","none","1","none"
"23","malaysia","s. veenod","mf","17","none","2","none","2","none","none","none","11","none","none","none","6","none","none","none","36","none","2","none"
"24","malaysia","fitri shazwan","mf","4","none","none","none","none","none","none","none","2","none","none","none","none","none","none","none","6","none","none","none"
"25","malaysia","r. gopinathan","mf","18","5","none","none","1","none","none","none","10","4","none","none","4","1","none","none","33","10","none","none"
"30","malaysia","zarif irfan","gk","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none","none"
"31"","malaysia","syukri azman","df","none","none","none","none","none","none","none","none","1","none","none","none","none","none","none","none","1","none","none","none"
"31"","malaysia","faizzudin abidin","mf","3","none","none","none","none","none","none","none","1","none","none","none","none","none","none","none","4","none","none","none"
"32","malaysia","a. namathevan","df","1","none","none","none","none","none","none","none","1","none","none","none","none","none","none","none","2","none","none","none"
"33","malaysia","badrul amin","fw","none","none","none","none","none","none","none","none","1","none","none","none","none","none","none","none","1","none","none","none"
"35","malaysia","k. kannan","mf","1","none","none","none","none","none","none","none","1","none","none","none","none","none","none","none","2","none","none","none"
"own goals","own goals","own goals","own goals","none","0","none","none","none","0","none","none","none","0","none","none","none","0","none","none","none","0","none","none"
"totals","totals","totals","totals","totals","28","31","3","none","3","3","0","none","23","14","1","none","8","12","1","none","62","60","5"
