"club","league","season","league","league","playoffs","playoffs","cup","cup","int'l cup","int'l cup","total","total"
"club","league","season","apps","gls","apps","gls","apps","gls","apps","gls","apps","gls"
"adelaide city","nsl","2000-01","3","0","none","none","none","none","none","none","3","0"
"adelaide city","nsl","2001-02","23","0","none","none","none","none","none","none","23","0"
"adelaide city","nsl","2002-03","20","3","9","2","none","none","none","none","29","5"
"sydney olympic fc","nsl","2003-04","23","0","none","none","none","none","none","none","23","0"
"hamilton academical f.c","sfl","2004-05","15","0","none","none","none","none","none","none","15","0"
"sydney fc","a-league","2005-06","21","0","2","0","4","0","2","0","29","0"
"sydney fc","a-league","2006-07","21","2","2","0","6","0","6","0","35","2"
"sydney fc","a-league","2007-08","15","0","none","none","3","0","none","none","18","0"
"adelaide united","a-league","2009-10","26","1","none","none","none","none","none","none","26","1"
"adelaide united","a-league","2010-11","26","4","none","none","none","none","none","none","26","4"
"busan i'park","k-league","2011","8","1","none","none","7","0","none","none","15","1"
"mes kerman","pro league","2013-14","11","0","none","none","3","1","none","none","14","1"
"career totals","career totals","none","none","none","none","none","none","none","none","none","255","14"
