"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"river plate","2013-14","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"river plate","2014","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"river plate","2015","primera division","0","0","0","0","-","-","0","0","0","0","0","0"
"river plate","total","total","0","0","0","0","-","-","0","0","0","0","0","0"
"temperley","2015","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"talleres","2016","primera b nacional","0","0","0","0","-","-","0","0","0","0","none","none"
"temperley","2016-17","primera division","0","0","0","0","-","-","0","0","0","0","none","none"
"fenix","2017-18","primera b metropolitana","33","0","0","0","-","-","0","0","33","0","none","none"
"santamarina","2018-19","primera b nacional","2","0","0","0","-","-","0","0","2","0","none","none"
"career total","career total","career total","35","0","0","0","-","-","0","0","0","0","35","0"
