"nat","team","from","to","record","record","record","record","record","record","record","record"
"nat","team","from","to","g","w","d","l","gf","ga","+/-","win %"
"france","sm caen","july 1997","may 2000","118","43","39","36","158","131","+27","36.44"
"switzerland","lausanne sports","july 2003","december 2003","15","5","5","5","23","22","+1","33.33"
"none","saudi arabia","november 2004","december 2005","20","9","4","7","26","22","+4","45.00"
"none","oman","april 2007","june 2008","28","13","11","4","34","27","+7","46.43"
"saudi arabia","al-ittihad","june 2008","january 2010","63","44","11","8","153","76","+77","69.84"
"saudi arabia","al-hilal","december 2010","july 2011","37","25","9","3","73","31","+42","67.57"
"united arab emirates","baniyas","november 2011","may 2012","24","11","7","6","40","33","+7","45.83"
"none","bahrain","october 2012","august 2013","21","9","8","4","22","16","+6","42.86"
"spain","real betis","january 2014","may 2014","21","6","3","12","23","37","-14","28.57"
"united arab emirates","al-wasl","october 2014","may 2016","19","7","6","6","32","31","+1","36.84"
