"club","league","season","league","league","league cup","league cup","domestic cup","domestic cup","continental","continental","total","total"
"club","league","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stuttgarter kickers","3. liga","2013-14","10","0","2","0","0","0","none","none","12","0"
"stuttgarter kickers","3. liga","2014-15","4","0","1","0","0","0","none","none","5","0"
"stuttgarter kickers","3. liga","2015-16","2","0","0","0","1","0","none","none","3","0"
"stuttgarter kickers","total","total","16","0","3","0","1","0","none","none","20","0"
"stuttgarter kickers ii","oberliga baden-wurttemberg","2014-15","14","3","0","0","0","0","none","none","14","3"
"stuttgarter kickers ii","oberliga baden-wurttemberg","2015-16","8","0","0","0","0","0","none","none","8","0"
"stuttgarter kickers ii","total","total","22","3","0","0","0","0","none","none","22","3"
"rot-weiss essen","regionalliga west","2015-16","15","1","0","0","0","0","none","none","15","1"
"rot-weiss essen","regionalliga west","2016-17","8","0","0","0","0","0","none","none","8","0"
"rot-weiss essen","total","total","23","1","0","0","0","0","none","none","23","1"
"wuppertaler sv","regionalliga west","2016-17","11","3","0","0","0","0","none","none","11","3"
"sv waldhof mannheim","regionalliga sudwest","2017-18","31","8","1","0","0","0","none","none","32","8"
"new york red bulls","major league soccer","2018","9","0","2","0","0","0","0","0","11","0"
"new york red bulls","major league soccer","2019","5","1","0","0","0","0","3","1","8","2"
"new york red bulls","total","total","14","1","2","0","0","0","3","1","19","2"
"new york red bulls ii","united soccer league","2018","2","1","0","0","0","0","0","0","2","1"
"career total","career total","career total","118","17","6","0","1","0","3","1","128","18"
