"nat","player","total","total","league","league","fa cup","fa cup","league cup","league cup","welsh cup","welsh cup"
"nat","player","a","g","a","g","a","g","a","g","a","g"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"england","terry carling","59","-","46","-","6","-","1","-","6","-"
"field players","field players","field players","field players","field players","field players","field players","field players","field players","field players","field players","field players"
"england","barry ashworth","39+2","3","34+2","3","-","-","1","-","4","-"
"england","graham birks","16","-","11","-","5","-","-","-","-","-"
"england","terry bradbury","58","2","45","2","6","-","1","-","6","-"
"scotland","eric brodie","12","-","11","-","-","-","1","-","-","-"
"wales","alan caughter","1+1","-","1+1","-","-","-","-","-","-","-"
"england","roy chapman","10","3","9","3","-","-","1","-","-","-"
"england","roy cheetham","55","3","43","2","6","1","1","-","5","-"
"england","bill dearden","50","19","40","11","5","3","1","1","4","4"
"wales","derek draper","55+1","14","43+1","12","6","-","-","-","6","2"
"wales","nigel edwards","19+6","1","13+4","-","1+2","-","-","-","5","1"
"england","albert harley","3","1","3","1","-","-","-","-","-","-"
"scotland","gavin lang","1","1","-","-","1","1","-","-","-","-"
"northern ireland","sammy mcmillan","21+2","-","16+2","-","-","-","-","-","5","-"
"scotland","andy provan","56","10","45","6","6","1","1","-","4","3"
"wales","cliff sear","12+1","-","10+1","-","1","-","1","-","-","-"
"england","alan spence","9+4","3","5+4","2","2","-","-","-","2","1"
"england","steve stacey","1","-","1","-","-","-","-","-","-","-"
"england","mike sutton","58","2","46","2","6","-","1","-","5","-"
"england","alan tarbuck","25","10","17","6","4","3","-","-","4","1"
"england","graham turner","48+3","2","36+3","1","5","-","1","-","6","1"
"wales","keith webber","41+5","8","31+4","4","6","2","0+1","-","4","2"
"none","own goals","-","3","-","3","-","-","-","-","-","-"
"none","total","59","85","46","58","6","11","1","1","6","15"
