"ethnic group","census 1948","census 1948","census 1953","census 1953","census 1961","census 1961","census 1971","census 1971","census 1981","census 1981","census 1991","census 1991","census 2002","census 2002","census 2011","census 2011"
"ethnic group","number","%","number","%","number","%","number","%","number","%","number","%","number","%","number","%"
"serbs","4,651,819","80.2","4,963,070","80.4","5,477,670","82.0","5,788,547","80.4","5,972,661","77.3","6,616,917","80.3","6,212,838","82.9","5,988,150","83.3"
"hungarians","433,618","7.5","441,748","7.2","449,377","6.7","430,145","6.0","390,321","5.0","337,479","4.5","293,299","3.9","253,899","3.5"
"roma","40,951","0.7","46,896","0.8","6,624","0.1","35,301","0.5","76,833","1.0","90,853","1.2","108,193","1.4","147,604","2.1"
"muslims","7,636","0.1","74,840","1.2","85,441","1.3","127,973","1.8","156,604","2.0","176,401","2.3","19,503","0.3","22,301","0.3"
"bosniaks","7,636","0.1","74,840","1.2","85,441","1.3","127,973","1.8","156,604","2.0","176,401","2.3","136,087","145,278","none","none"
"croats","164,574","2.8","167,045","2.7","189,158","2.8","176,649","2.5","140,650","1.8","97,344","1.2","70,602","0.9","57,900","0.8"
"slovaks","73,138","1.3","75,006","1.2","77,816","1.2","76,707","1.1","73,170","0.9","65,363","0.9","59,021","0.8","52,750","0.7"
"albanians","33,769","0.6","40,954","0.7","53,167","0.8","68,593","1.0","76,296","1.0","74,303","1.0","61,647","0.8","5,809","0.08"
"montenegrins","46,810","0.8","54,718","0.9","67,165","1.0","93,705","1.3","120,438","1.6","117,761","1.6","69,049","0.9","38,527","0.5"
"vlachs","93,440","1.6","28,047","0.5","1,367","0.0","14,719","0.2","25,592","0.3","15,675","0.2","40,054","0.5","35,330","0.5"
"romanians","63,112","1.1","59,689","1.0","59,492","0.9","57,399","0.8","53,676","0.7","37,818","0.5","34,576","0.5","29,332","0.4"
"yugoslavs","none","none","none","none","14,873","0.2","122,904","1.7","439,265","5.7","312,595","4.1","80,721","1.1","23,303","0.3"
"macedonians","17,391","0.3","26,302","0.4","35,146","0.5","41,627","0.6","47,930","0.6","44,028","0.6","25,847","0.3","22,755","0.3"
"bulgarians","59,395","1.0","60,146","1.0","58,243","0.9","53,536","0.7","33,294","0.4","26,416","0.3","20,497","0.3","18,543","0.3"
"others/unspecified","114,493","2.0","132,549","2.1","102,700","1.5","115,093","1.6","122,506","1.6","97,953","1.3","266,067","3.5","368,136","5.1"
"total","5,936,223","5,936,223","6,171,010","6,171,010","6,678,239","6,678,239","7,202,898","7,202,898","7,729,236","7,729,236","8,010,906","8,010,906","7,498,001","7,498,001","7,186,862","7,186,862"
