"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"ipswich town","2010-11","championship","9","3","0","0","0","0","-","-","9","3"
"ipswich town","2011-12","championship","16","2","1","0","0","0","-","-","17","2"
"ipswich town","2012-13","championship","6","0","0","0","1","0","-","-","7","0"
"ipswich town","total","total","31","5","1","0","1","0","-","-","33","5"
"york city","2012-13","league two","5","0","-","-","5","0","none","none","none","none"
"york city","2013-14","league two","31","4","1","1","-","-","0","0","32","5"
"york city","2014-15","league two","22","2","1","0","0","0","0","0","23","2"
"york city","2015-16","league two","22","1","0","0","2","0","1","0","25","1"
"york city","total","total","80","7","2","1","2","0","1","0","85","8"
"linfield","2016-17","nifl premiership","13","2","1","0","0","0","1","0","15","2"
"coleraine","2017-18","nifl premiership","25","6","1","0","0","0","3","1","29","7"
"career total","career total","career total","149","20","5","1","3","0","5","1","162","22"
