"club","season","league","league","league","national cup","national cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"raith rovers","1923-24","scottish first division","17","0","1","0","18","0"
"raith rovers","1924-25","scottish first division","37","0","4","0","41","0"
"raith rovers","1925-26","scottish first division","38","0","2","0","40","0"
"raith rovers","total","total","92","0","7","0","99","0"
"middlesbrough","1926-27","second division","42","0","3","0","45","0"
"middlesbrough","1927-28","first division","42","0","3","0","45","0"
"middlesbrough","1928-29","second division","40","0","3","0","43","0"
"middlesbrough","1929-30","first division","41","0","6","0","47","0"
"middlesbrough","1930-31","first division","38","0","2","0","40","0"
"middlesbrough","1931-32","first division","30","0","2","0","32","0"
"middlesbrough","1932-33","first division","12","0","0","0","12","0"
"middlesbrough","total","total","245","0","19","0","264","0"
"brentford","1934-35","second division","42","0","1","0","43","0"
"brentford","1935-36","first division","42","0","1","0","43","0"
"brentford","1936-37","first division","35","0","2","0","37","0"
"brentford","1937-38","first division","7","0","0","0","7","0"
"brentford","total","total","126","0","4","0","130","0"
"queen of the south","1938-39","scottish first division","38","0","3","0","41","0"
"career total","career total","career total","501","0","33","0","534","0"
