"","pooled cohorts","pooled cohorts","by single birth year","by single birth year","by cohort, 3-year groups","by cohort, 3-year groups","residualized on age","residualized on age","number"
"","mean","sd","mean","sd","mean","sd","mean","sd","number"
"1963 to 1974 birth cohorts","","","","","","","","",""
"employment income","","","","","","","","",""
"child individual income","40.99","0.19","40.58","0.19","40.60","0.19","40.46","0.20","2,272.00"
"child and spouse income, unadjusted","39.85","0.21","39.20","0.21","39.31","0.22","39.37","0.22",".."
"total income","","","","","","","","",""
"child individual income","38.62","0.23","38.59","0.23","38.55","0.23","38.07","0.25","2,473.00"
"child and spouse income, unadjusted","36.75","0.27","36.54","0.27","36.54","0.27","36.38","0.28",".."
"1963 to 1979 birth cohorts","","","","","","","","",""
"employment income","","","","","","","","",""
"child individual income","41.23","0.18","40.45","0.19","40.69","0.19","40.71","0.19","2,995.00"
"child and spouse income, unadjusted","39.25","0.22","37.98","0.23","38.41","0.23","38.63","0.23",".."
"total income","","","","","","","","",""
"child individual income","39.73","0.21","39.38","0.21","39.44","0.21","39.07","0.23","3,244.00"
"child and spouse income, unadjusted","37.33","0.26","36.63","0.26","36.80","0.27","36.74","0.27",".."
"1963 to 1984 birth cohorts","","","","","","","","",""
"employment income","","","","","","","","",""
"child individual income","42.46","0.16","40.85","0.18","41.11","0.18","40.90","0.19","3,753.00"
"child and spouse income, unadjusted","40.82","0.19","38.48","0.22","38.96","0.22","38.98","0.23",".."
"total income","","","","","","","","",""
"child individual income","40.74","0.19","39.53","0.21","39.70","0.21","39.27","0.22","4,043.00"
"child and spouse income, unadjusted","39.01","0.23","37.29","0.25","37.60","0.25","37.44","0.26",".."
