"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"nk zagreb","2008-09","prva hnl","8","0","0","0","0","0","0","0","8","0"
"nk zagreb","2009-10","prva hnl","14","0","1","0","0","0","0","0","15","0"
"nk zagreb","2010-11","prva hnl","26","1","2","0","0","0","0","0","28","1"
"nk zagreb","2011-12","prva hnl","25","4","5","0","0","0","0","0","30","4"
"nk zagreb","2012-13","prva hnl","18","0","2","0","0","0","0","0","20","0"
"nk zagreb","total","total","91","5","10","0","0","0","0","0","101","5"
"werder bremen","2012-13","bundesliga","4","0","0","0","0","0","-","-","4","0"
"werder bremen","total","total","4","0","0","0","0","0","0","0","4","0"
"ferencvaros","2013-14","nemzeti bajnoksag i","9","1","0","0","5","0","0","0","14","1"
"ferencvaros","2014-15","nemzeti bajnoksag i","18","1","3","0","4","0","2","0","27","1"
"ferencvaros","total","total","27","2","3","0","9","0","2","0","41","2"
"werder bremen ii","2015-16","3. liga","4","0","0","0","0","0","-","-","4","0"
"werder bremen ii","total","total","4","0","0","0","0","0","0","0","4","0"
"angers","2016-17","ligue 1","12","1","3","0","1","0","-","-","16","1"
"angers","2017-18","ligue 1","24","2","1","0","3","1","-","-","28","3"
"angers","total","total","36","3","4","0","4","1","0","0","44","4"
"career total","career total","career total","162","10","17","0","13","1","2","0","194","11"
