"census division","interprovincial","interprovincial","intraprovincial","intraprovincial","internal","internal"
"census division","number","rate","number","rate","number","rate"
"five largest net internal migrations","","","","","",""
"simcoe","-501","-1.0","8,763","17.8","8,262","16.8"
"capital","3,918","10.1","2,110","5.5","6,028","15.6"
"fraser valley","1,333","4.4","4,185","13.8","5,518","18.2"
"durham","-619","-0.9","5,743","8.6","5,124","7.7"
"ottawa","3,181","3.3","1,659","1.7","4,840","5.0"
"five largest net internal migration rates","","","","","",""
"mirabel","7","0.1","1,077","21.3","1,084","21.4"
"central okanagan","2,770","14.0","1,238","6.3","4,008","20.3"
"okanagan-similkameen","932","11.5","649","8.0","1,581","19.4"
"dufferin","-160","-2.5","1,381","21.8","1,221","19.3"
"nanaimo","1,757","11.3","1,190","7.7","2,947","19.0"
"five lowest net internal migrations","","","","","",""
"montreal","-5,654","-2.8","-17,032","-8.5","-22,686","-11.4"
"toronto","5,515","1.9","-28,073","-9.9","-22,558","-7.9"
"peel","1,177","0.8","-10,419","-7.2","-9,242","-6.4"
"york","292","0.3","-5,218","-4.6","-4,926","-4.3"
"division no. 16","-1,944","-25.4","-2,962","-38.7","-4,906","-64.0"
"five lowest net internal migration rates","","","","","",""
"division no. 16","-1,944","-25.4","-2,962","-38.7","-4,906","-64.0"
"northern rockies","-113","-21.0","-136","-25.2","-249","-46.2"
"stikine","-14","-27.8","-9","-17.8","-23","-45.6"
"division no. 18","-219","-14.5","-293","-19.4","-512","-33.9"
"division no. 15","-212","-9.8","-277","-12.8","-489","-22.6"
"canada's three largest census divisions","","","","","",""
"toronto","5,515","1.9","-28,073","-9.9","-22,558","-7.9"
"greater vancouver","9,088","3.6","-9,928","-3.9","-840","-0.3"
"montreal","-5,654","-2.8","-17,032","-8.5","-22,686","-11.4"
