"year","rushing","rushing","rushing","rushing","rushing","none","receiving","receiving","receiving"
"year","att","yards","avg","tds","none","rec","yds","avg","td"
"2003","20","85","4.3","1","none","1","2","2.0","0"
"2004","120","581","4.8","9","none","22","278","12.6","2"
"2005","336","1,750","5.2","20","none","33","343","10.4","1"
"2006","416","1,789","4.3","17","none","41","410","10.0","2"
"2007","158","559","3.5","3","none","30","186","6.2","1"
"2008","193","874","4.5","5","none","12","74","6.2","0"
"2009","132","377","2.9","0","none","12","76","6.3","0"
"2009","46","204","4.4","0","none","3","4","1.3","0"
"2009","178","581","3.3","0","none","15","80","5.3","0"
"2010","5","2","0.4","0","none","0","0","0","0"
"2011","1","2","2","0","none","0","0","0","0"
"total","1427","6,223","4.4","55","65","154","1,373","8.9","6"
