"club","season","league","league","league","cup","cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"valladolid b","2005-06","segunda division b","21","0","-","-","10","2","none","none"
"valladolid b","2006-07","segunda division b","36","5","-","-","2","0","38","5"
"valladolid b","2007-08","segunda division b","30","4","-","-","30","4","none","none"
"valladolid b","2008-09","segunda division b","18","2","-","-","18","2","none","none"
"valladolid b","total","total","114","11","-","-","2","0","116","11"
"valladolid","2006-07","segunda division","0","0","0","0","-","-","0","0"
"valladolid","2008-09","la liga","3","0","2","0","-","-","5","0"
"valladolid","2010-11","segunda division","11","0","2","0","1","0","14","0"
"valladolid","2011-12","segunda division","39","1","1","0","4","0","44","1"
"valladolid","2012-13","la liga","28","0","2","0","-","-","30","0"
"valladolid","2013-14","la liga","35","1","1","0","-","-","36","1"
"valladolid","2014-15","segunda division","32","1","0","0","2","0","34","1"
"valladolid","total","total","148","3","8","0","7","0","163","3"
"cordoba","2009-10","segunda division","30","2","2","0","-","-","32","2"
"beitar jerusalem","2015-16","israeli premier league","29","1","4","0","-","-","33","1"
"beitar jerusalem","2016-17","israeli premier league","33","6","7","0","7","0","47","6"
"beitar jerusalem","total","total","62","7","11","0","7","0","80","7"
"apoel","2017-18","cypriot first division","11","0","1","0","11","0","23","0"
"career total","career total","career total","365","23","22","0","27","0","414","23"
