"type of violent crime","female victim","female victim","male victim","male victim","females as a percentage of all victims"
"type of violent crime","number","percent","number","percent","females as a percentage of all victims"
"homicide","175","0.1","426","0.3","29.1"
"attempted murder","193","0.1","616","0.4","23.9"
"other violations causing death","36","0.0","52","0.0","40.9"
"sexual assaults - all levels","18,626","10.7","2,499","1.5","88.2"
"other sexual violations","4,251","2.4","847","0.5","83.4"
"assault - level 3 - aggravated","894","0.5","2,356","1.5","27.5"
"assault - level 2 - weapon or bodily harm","17,744","10.2","28,882","17.9","38.1"
"assault - level 1 - common assault","84,435","48.4","70,000","43.4","54.7"
"other types of assaults","2,255","1.3","8,878","5.5","20.3"
"forcible confinement, kidnapping or abduction","3,268","1.9","848","0.5","79.4"
"robbery","6,217","3.6","13,516","8.4","31.5"
"extortion","726","0.4","1,445","0.9","33.4"
"criminal harassment","10,244","5.9","3,283","2.0","75.7"
"threatening or harassing phone calls","3,655","2.1","1,512","0.9","70.7"
"uttering threats","20,404","11.7","24,117","15.0","45.8"
"commodification of sexual activity","11","0.0","0.0","0.0","100.0"
"other violent criminal code violations","1,366","0.8","2,026","1.3","40.3"
"total","174,500","100.0","161,303","100.0","52.0"
