"year","teams","games","games","tackles","tackles","tackles","tackles","fumbles","fumbles","fumbles","fumbles","interceptions","interceptions","interceptions","interceptions","misc","misc"
"year","teams","g","gs","comb","total","ast","sack","ff","fr","yds","td","int","yds","lng","td","pd","sfty"
"2002","car","12","12","35","28","7","12.0","5","0","0","0","1","21","21","0","4","0"
"2003","car","16","16","44","37","7","7.0","3","0","0","0","0","0","0","0","3","0"
"2004","car","16","16","64","52","12","11.0","4","1","60","1","2","143","97","1","7","0"
"2005","car","16","16","50","38","12","10.5","2","1","10","0","0","0","0","0","6","0"
"2006","car","16","16","57","48","9","13.0","3","2","0","0","0","0","0","0","6","0"
"2007","car","14","14","38","30","8","2.5","3","2","0","0","1","0","0","0","5","0"
"2008","car","16","16","51","40","11","14.5","5","0","0","0","0","0","0","0","5","0"
"2009","car","16","14","42","36","6","10.5","5","1","11","0","2","13","13","1","5","0"
"2010","chi","16","16","54","43","11","8.0","3","0","0","0","2","1","1","0","9","0"
"2011","chi","16","16","37","33","4","11.0","3","2","0","0","0","0","0","0","4","0"
"2012","chi","16","16","39","32","7","11.5","1","4","6","0","0","0","0","0","2","0"
"2013","chi","16","16","45","31","14","7.0","2","1","42","1","1","14","14","0","3","0"
"2014","gb","16","16","44","29","15","7.0","4","3","2","0","2","101","52","2","11","0"
"2015","gb","16","16","37","25","12","10.5","2","0","0","0","0","0","0","0","0","0"
"2016","gb","16","11","23","15","8","7.5","2","1","0","0","0","0","0","0","3","0"
"2017","car","16","5","33","21","12","11.0","2","2","0","0","0","0","0","0","0","0"
"2018","car","16","8","22","14","8","5.0","2","1","0","0","0","0","0","0","6","0"
"career","career","266","245","715","552","163","159.5","51","21","131","2","11","293","97","4","79","0"
"source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com","source: nfl.com"
