"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving","2pt","fumbles","fumbles"
"year","team","g","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td","2pt","fum","lost"
"2008","chicago bears","16","16","316","1,238","3.9","50t","8","63","477","7.6","19","4","0","1","1"
"2009","chicago bears","16","16","258","929","3.6","61","4","57","471","8.3","37","0","1","6","3"
"2010","chicago bears","16","16","237","1,069","4.5","68t","6","51","547","10.7","89t","3","1","3","2"
"2011","chicago bears","12","12","203","997","4.9","46","3","52","490","9.4","56t","1","0","2","2"
"2012","chicago bears","15","15","248","1,094","4.4","46","5","44","340","7.7","47","1","0","2","1"
"2013","chicago bears","16","16","289","1,339","4.6","55","9","74","594","8.0","34","3","1","2","2"
"2014","chicago bears","16","16","266","1,038","3.9","32","6","102","808","7.9","56","4","2","2","2"
"2015","chicago bears","13","13","218","898","4.1","27","4","44","389","8.8","38","3","1","2","1"
"2016","new york jets","14","13","218","813","3.7","32","7","30","263","8.8","40","1","0","1","1"
"2017","new york jets","12","4","103","381","3.7","20","2","37","293","7.9","34","1","0","1","1"
"career","career","146","137","2,356","9,796","4.2","68","54","554","4,672","8.4","89","21","6","22","16"
