"postdoc program status and ffrdc","administrator","sponsoring agency","postdocs","postdocs"
"postdoc program status and ffrdc","administrator","sponsoring agency","2012","2013"
"with postdoc program","","","2793","2613"
"university administered","","","1248","1204"
"ames laboratory","iowa state u. of science and technology","department of energy","51","42"
"argonne national laboratory","u. chicago argonne, llc","department of energy","301","279"
"fermi national accelerator laboratory","fermi research alliance, llc","department of energy","54","55"
"jet propulsion laboratory","california institute of technology","national aeronautics and space administration","115","159"
"lawrence berkeley national laboratory","u. california","department of energy","516","475"
"national ctr. for atmospheric research","university corp. for atmospheric research","national science foundation","40","37"
"national optical astronomy observatory","association of universities for research in astronomy","national science foundation","13","11"
"national radio astronomy observatory","associated universities, inc","national science foundation","21","21"
"princeton plasma physics laboratory","princeton u","department of energy","18","15"
"slac national accelerator laboratory","leland stanford, jr. u","department of energy","44","41"
"thomas jefferson national accelerator facility","jefferson science associates, llc","department of energy","75","69"
"industry administered","","","864","756"
"frederick national laboratory for cancer research","saic-frederick inc","national institutes of health","25","18"
"idaho national laboratory","battelle energy alliance, llc","department of energy","10","8"
"lawrence livermore national laboratory","lawrence livermore national security, llc","department of energy","191","152"
"los alamos national laboratory","los alamos national security, llc","department of energy","439","397"
"sandia national laboratories","sandia corp","department of energy","189","175"
"savannah river national laboratory","savannah river nuclear solutions, llc","department of energy","10","6"
"nonprofit administered","","","681","653"
"brookhaven national laboratory","brookhaven science associates, llc","department of energy","181","151"
"national renewable energy laboratory","alliance for sustainable energy, llc","department of energy","70","71"
"oak ridge national laboratory","u. tennessee-battelle, llc","department of energy","237","236"
"pacific northwest national laboratory","battelle memorial institute","department of energy","193","195"
"without postdoc program","","","",""
"university administered","","","",""
"lincoln laboratory","massachusetts institute of technology","department of defense","0","0"
"software engineering institute","carnegie mellon u","department of defense","0","0"
"nonprofit administered","","","",""
"aerospace ffrdc","the aerospace corp","department of defense","0","0"
"arroyo ctr","rand corp","department of defense","0","0"
"ctr. for advanced aviation system development","mitre corp","department of transportation","0","0"
"ctr. for communications and computing","institute for defense analyses","department of defense","0","0"
"ctr. for enterprise modernization","mitre corp","department of treasury, department of veterans affairs","0","0"
"ctr. for naval analyses","the cna corp","department of defense","0","0"
"ctr. for nuclear waste regulatory analyses","southwest research institute","nuclear waste regulatory commission","0","0"
"ctrs. for medicare and medicaid services ffrdc","mitre corp","department of health and human services","0","0"
"homeland security studies and analysis institute","analytic services, inc","department of homeland security","0","0"
"homeland security systems engineering and development institute","mitre corp","department of homeland security","0","0"
"judiciary engineering and modernization ctr","mitre corp","u.s. courts administrative office","0","0"
"national biodefense analysis and countermeasures ctr","battelle national biodefense institute","department of homeland security","0","0"
"national defense research institute","rand corp","department of defense","0","0"
"national security engineering ctr","mitre corp","department of defense","0","0"
"project air force","rand corp.","department of defense","0","0"
"science and technology policy institute","institute for defense analyses","national science foundation","0","0"
"studies and analyses ctr","institute for defense analyses","department of defense","0","0"
