"victims' use of services","female victim","female victim","male victim","male victim","total","total"
"victims' use of services","number","percent","number","percent","number","percent"
"told informal sources","","","","","",""
"yes","275","80.4","244","58.4","519","68.3"
"no","63","18.6","170","40.6","233","30.7"
"contacted or used formal services","","","","","",""
"yes","190","55.8","83","19.9","274","36.0"
"no","148","43.2","331","79.1","479","63.0"
"police found out about the incident","","","","","",""
"yes","120","35.1","100","24.0","220","29.0"
"no","218","63.8","316","75.6","534","70.3"
"respondent reported to police","","","","","",""
"yes","81","23.6","62","14.8","143","18.8"
"no","257","75.3","354","84.7","611","80.5"
"police found out some other way","","","","","",""
"yes","39","11.5","38","9.1","77","10.2"
"no","298","87.4","379","90.5","677","89.2"
"total","342","100.0","418","100.0","760","100.0"
