"closest accused-victim relationship","male accused","male accused","female accused","female accused"
"closest accused-victim relationship","number","percent","number","percent"
"intimate relationship","1,121","18.2","244","32.3"
"spouse","634","10.3","176","23.3"
"ex-spouse","226","3.7","20","2.6"
"other intimate relationship","261","4.2","48","6.3"
"family","1,037","16.8","244","32.3"
"parent","278","4.5","151","20.0"
"child","319","5.2","37","4.9"
"other family","440","7.1","56","7.4"
"acquaintances","2,889","46.8","218","28.8"
"criminal relationship","691","11.2","25","3.3"
"casual acquaintance","1,417","23.0","126","16.7"
"other acquaintance","781","12.7","67","8.9"
"other","1,121","18.2","50","6.6"
"stranger","1,065","17.3","45","6.0"
"unknown","56","0.9","5","0.7"
"total solved homicides","6,168","100.0","756","100.0"
