"pos","nat","name","football league","football league","midland regional league","midland regional league","football league war cup","football league war cup","total","total"
"pos","nat","name","apps","goals","apps","goals","apps","goals","apps","goals"
"gk","eng","harry hibbs","3","0","9","0","0","0","12","0"
"gk","eng","gil merrick","0","0","1","0","0","0","1","0"
"gk","eng","jack wheeler","0","0","18","0","6","0","24","0"
"fb","eng","sam bellamy","0","0","4","0","0","0","4","0"
"fb","sco","george cummings","-","-","4","0","0","0","4","0"
"fb","wal","billy hughes","3","0","17","0","6","0","26","0"
"fb","eng","dennis jennings","0","0","8","1","0","0","8","1"
"fb","eng","wally quinton","0","0","18","0","6","0","24","0"
"fb","eng","cyril trigg","3","0","16","5","6","6","25","0"
"hb","eng","jimmy allen","-","-","1","0","0","0","1","0"
"hb","eng","james bye","3","0","19","1","4","0","26","1"
"hb","eng","fred deakin","0","0","3","0","0","0","3","0"
"hb","eng","ray devey","0","0","3","0","0","0","3","0"
"hb","eng","reg foulkes","0","0","7","0","0","0","7","0"
"hb","eng","bob iverson","-","-","7","0","0","0","7","0"
"hb","sco","alex massie","-","-","4","0","0","0","4","0"
"hb","eng","f.w. moss","0","0","1","0","0","0","1","0"
"hb","eng","ray shaw","3","0","10","0","0","0","13","0"
"hb","eng","arthur turner","3","0","17","1","6","1","26","2"
"fw","eng","j. bate","-","-","1","0","0","0","1","0"
"fw","eng","harold bodle","0","0","17","9","6","3","23","12"
"fw","eng","frank broome","-","-","7","5","0","0","7","5"
"fw","eng","e. brown","0","0","1","0","0","0","1","0"
"fw","ire","jackie brown","3","1","15","5","5","0","23","6"
"fw","eng","charlie craven","0","0","9","0","0","0","9","0"
"fw","wal","don dearson","3","1","19","3","5","0","27","4"
"fw","eng","ted duckhouse","3","1","6","5","0","0","9","6"
"fw","eng","george edwards","-","-","10","4","0","0","10","4"
"fw","eng","tom farrage","3","1","0","0","0","0","3","1"
"fw","eng","fred gardner","0","0","2","1","0","0","2","1"
"fw","eng","a.e. godden","0","0","5","1","6","4","11","5"
"fw","eng","billy guest","-","-","6","2","0","0","6","2"
"fw","eng","fred harris","3","0","19","1","6","0","28","1"
"fw","wal","wilson jones","0","0","17","10","3","1","17","11"
"fw","eng","dudley kernick","-","-","1","0","0","0","1","0"
"fw","eng","jackie martin","-","-","2","0","0","0","2","0"
"fw","wal","seymour morris","0","0","1","0","0","0","1","0"
"fw","eng","frank moss","-","-","2","0","0","0","2","0"
"fw","eng","d.w. rowley","0","0","1","0","0","0","1","0"
