"club","season","league","league","league","national cup","national cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"hajduk kula","2004-05","serbian superliga","2","0","0","0","-","-","2","0"
"hajduk kula","2005-06","serbian superliga","2","0","0","0","-","-","2","0"
"hajduk kula","2006-07","serbian superliga","16","2","0","0","-","-","16","2"
"hajduk kula","2007-08","serbian superliga","25","4","0","0","3","2","28","6"
"hajduk kula","2008-09","serbian superliga","20","1","0","0","-","-","20","1"
"hajduk kula","2009-10","serbian superliga","26","3","0","0","-","-","26","3"
"hajduk kula","2010-11","serbian superliga","27","6","0","0","-","-","27","6"
"hajduk kula","total","total","118","16","0","0","3","2","121","18"
"petrolul ploiesti","2011-12","liga i","12","2","3","1","-","-","15","3"
"maribor","2012-13","slovenian prvaliga","13","3","1","0","7","0","21","3"
"suphanburi","2013","thai premier league","1","0","0","0","-","-","1","0"
"sarajevo","2013-14","premier league","16","10","3","4","0","0","19","14"
"busan ipark","2014","k league classic","1","0","0","0","-","-","1","0"
"haugesund","2014","tippeligaen","3","0","1","0","0","0","4","0"
"pattaya united","2015","thai division 1","14","7","0","0","-","-","14","7"
"dinamo batumi","2015-16","umaglesi liga","13","4","0","0","-","-","13","4"
"south china","2016-17","hong kong premier league","20","13","4","2","2","2","26","17"
"career total","career total","career total","211","55","12","7","12","4","235","66"
