"year","team","games","games","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","gp","gs","comp","att","pct","yds","avg","td","int","rtg","att","yds","avg","td","sack","yds","fum","lost"
"2012","was","3","1","33","48","68.8","466","9.7","4","3","101.6","3","22","7.3","0","3","27","1","0"
"2013","was","5","3","81","155","52.3","854","5.5","4","7","58.4","4","14","3.5","0","5","32","3","2"
"2014","was","6","5","126","204","61.8","1,710","8.4","10","9","86.4","7","20","2.9","0","8","70","2","2"
"2015","was","16","16","379","543","69.8","4,166","7.7","29","11","101.6","26","48","1.8","5","26","186","9","3"
"2016","was","16","16","406","606","67.0","4,917","8.1","25","12","97.2","34","96","2.8","4","23","190","9","3"
"2017","was","16","16","347","540","64.3","4,093","7.6","27","13","93.9","49","179","3.7","4","41","342","13","5"
"2018","min","16","16","425","606","70.1","4,298","7.1","30","10","99.7","44","123","2.8","1","40","262","9","7"
"total","total","78","73","1,797","2,702","66.5","20,504","7.6","129","65","95.0","167","502","3.0","14","146","1,109","46","22"
