"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"nantes","2010-11","ligue 2","1","0","0","0","-","-","1","0"
"nantes","2011-12","ligue 2","35","6","5","0","-","-","40","6"
"nantes","2012-13","ligue 2","31","0","3","1","-","-","34","1"
"nantes","2013-14","ligue 1","27","1","4","0","-","-","31","1"
"nantes","2014-15","ligue 1","36","7","4","0","-","-","40","7"
"nantes","total","total","130","14","16","1","0","0","146","15"
"aston villa","2015-16","premier league","25","0","4","0","-","-","29","0"
"saint-etienne","2016-17","ligue 1","35","3","1","1","7","0","43","4"
"fiorentina","2017-18","serie a","36","8","2","2","0","0","38","10"
"fiorentina","2018-19","serie a","22","5","2","0","0","0","24","5"
"fiorentina","total","total","58","13","4","2","0","0","62","15"
"career total","career total","career total","248","30","25","4","7","0","280","34"
